loyalty_id,loyalty_number,loyalty_status,loyalty_count
lo90,512070,Gold,1
lo91,576032,Bronze,1
lo92,159209,Silver,1
lo93,382475,Bronze,1
lo94,287088,Bronze,1
lo95,598875,Elite,1
lo96,421284,Silver,1
lo97,866462,Bronze,1
lo98,204812,Bronze,1
lo99,677582,Elite,1
lo100,593044,Bronze,1
lo101,536843,Gold,1
lo102,828959,Gold,1
lo103,182162,Bronze,1
lo104,216072,Bronze,1
lo105,273984,Silver,1
lo106,310989,Bronze,1
lo107,441227,Bronze,1
lo108,705719,Bronze,1
lo109,669947,Bronze,1
lo110,866306,Silver,1
lo111,115196,Bronze,1
lo112,286006,Bronze,1
lo113,252211,Silver,1
lo114,127152,Bronze,1
lo115,671799,Bronze,1
lo116,865280,Bronze,1
lo117,344934,Bronze,1
lo118,149462,Silver,1
lo119,947843,Elite,1
lo120,284136,Bronze,1
lo121,574997,Silver,1
lo122,780351,Bronze,1
lo123,456259,Gold,1
lo124,731557,Gold,1
lo125,464035,Elite,1
lo126,407285,Bronze,1
lo127,917610,Gold,1
lo128,183783,Bronze,1
lo129,102284,Bronze,1
lo130,342569,Bronze,1
lo131,115707,Silver,1
lo132,144303,Bronze,1
lo133,788997,Bronze,1
lo134,712721,Bronze,1
lo135,607571,Bronze,1
lo136,171208,Bronze,1
lo137,244788,Bronze,1
lo138,491351,Bronze,1
lo139,765033,Gold,1
lo140,111493,Elite,1
lo141,754613,Bronze,1
lo142,527558,Elite,1
lo143,288307,Bronze,1
lo144,340823,Bronze,1
lo145,610216,Silver,1
lo146,327408,Bronze,1
lo147,577167,Bronze,1
lo148,354458,Bronze,1
lo149,415090,Elite,1
lo150,405083,Bronze,1
lo151,419786,Bronze,1
lo152,338355,Bronze,1
lo153,691803,Bronze,1
lo154,985440,Bronze,1
lo155,640127,Silver,1
lo156,650792,Bronze,1
lo157,838535,Bronze,1
lo158,804975,Gold,1
lo159,979195,Elite,1
lo160,691542,Bronze,1
lo161,748929,Bronze,1
lo162,402156,Bronze,1
lo163,474170,Gold,1
lo164,820224,Bronze,1
lo165,925394,Bronze,1
lo166,740513,Bronze,1
lo167,514552,Bronze,1
lo168,955716,Bronze,1
lo169,217023,Bronze,1
lo170,289365,Gold,1
lo171,873806,Bronze,1
lo172,944821,Bronze,1
lo173,210746,Bronze,1
lo174,265082,Bronze,1
lo175,251141,Bronze,1
lo176,478461,Bronze,1
lo177,488646,Bronze,1
lo178,225807,Gold,1
lo179,172233,Silver,1
lo180,949890,Bronze,1
lo181,709776,Silver,1
lo182,864832,Bronze,1
lo183,923049,Bronze,1
lo184,316338,Bronze,1
lo185,728818,Gold,1
lo186,331417,Elite,1
lo187,832669,Bronze,1
lo188,649054,Bronze,1
lo189,978681,Bronze,1
lo190,847198,Bronze,1
lo191,438731,Silver,1
lo192,326810,Bronze,1
lo193,101958,Bronze,1
lo194,131469,Bronze,1
lo195,106190,Bronze,1
lo196,950548,Bronze,1
lo197,803638,Bronze,1
lo198,529733,Bronze,1
lo199,732633,Bronze,1
lo200,931657,Elite,1
lo201,888205,Silver,1
lo202,545947,Gold,1
lo203,843666,Elite,1
lo204,967984,Bronze,1
lo205,629966,Silver,1
lo206,481987,Bronze,1
lo207,318481,Bronze,1
lo208,280074,Bronze,1
lo209,561348,Silver,1
lo210,209102,Silver,1
lo211,621695,Elite,1
lo212,816619,Bronze,1
lo213,645491,VIP,1
lo214,187175,Gold,1
lo215,814473,Gold,1
lo216,768255,Bronze,1
lo217,541154,Bronze,1
lo218,331939,Elite,1
lo219,368397,Bronze,1
lo220,248874,Bronze,1
lo221,319290,Bronze,1
lo222,154172,Bronze,1
lo223,989906,Bronze,1
lo224,323099,Gold,1
lo225,155176,Bronze,1
lo226,950272,Gold,1
lo227,515905,Bronze,1
lo228,266097,Bronze,1
lo229,578603,Gold,1
lo230,535528,Elite,1
lo231,246501,Bronze,1
lo232,954969,Bronze,1
lo233,482694,Bronze,1
lo234,515158,Bronze,1
lo235,556004,Bronze,1
lo236,505650,Silver,1
lo237,376072,Elite,1
lo238,516984,Bronze,1
lo239,530870,Gold,1
lo240,741340,Silver,1
lo241,611474,Bronze,1
lo242,177109,Bronze,1
lo243,307851,Silver,1
lo244,986217,Bronze,1
lo245,730957,Gold,1
lo246,605127,Gold,1
lo247,629467,Bronze,1
lo248,306270,Elite,1
lo249,185275,Bronze,1
lo250,788159,Bronze,1
lo251,442444,Bronze,1
lo252,909490,Bronze,1
lo253,539127,Bronze,1
lo254,105834,Bronze,1
lo255,882435,Bronze,1
lo256,383755,Silver,1
lo257,981674,Silver,1
lo258,371316,Bronze,1
lo259,441964,Elite,1
lo260,784529,Silver,1
lo261,479500,Bronze,1
lo262,470076,Bronze,1
lo263,459477,Bronze,1
lo264,675021,Elite,1
lo265,530233,Gold,1
lo266,693454,Elite,1
lo267,883737,Bronze,1
lo268,700066,Bronze,1
lo269,939817,Bronze,1
lo270,732088,Bronze,1
lo271,949829,VIP,1
lo272,354923,Bronze,1
lo273,404614,Elite,1
lo274,441541,Bronze,1
lo275,378031,Bronze,1
lo276,851499,Gold,1
lo277,235693,Bronze,1
lo278,278129,Bronze,1
lo279,905686,Elite,1
lo280,258102,Bronze,1
lo281,131155,Bronze,1
lo282,475691,VIP,1
lo283,454768,Gold,1
lo284,173294,Bronze,1
lo285,598208,Bronze,1
lo286,598923,Bronze,1
lo287,304141,Silver,1
lo288,414870,Bronze,1
lo289,975681,Silver,1
lo290,898787,Bronze,1
lo291,419272,Silver,1
lo292,191026,VIP,1
lo293,659802,Bronze,1
lo294,690491,Bronze,1
lo295,939984,Silver,1
lo296,897172,Elite,1
lo297,200163,Bronze,1
lo298,726670,Gold,1
lo299,476910,Silver,1
lo300,203800,Bronze,1
lo301,105810,Elite,1
lo302,731703,Bronze,1
lo303,803524,Bronze,1
lo304,681819,Bronze,1
lo305,626456,Bronze,1
lo306,768672,Bronze,1
lo307,837528,Gold,1
lo308,570820,Bronze,1
lo309,915891,Bronze,1
lo310,225748,Bronze,1
lo311,692685,Bronze,1
lo312,715385,VIP,1
lo313,580661,Bronze,1
lo314,840560,Bronze,1
lo315,445073,Bronze,1
lo316,809591,Bronze,1
lo317,199279,Bronze,1
lo318,836486,Bronze,1
lo319,517068,Bronze,1
lo320,458831,Bronze,1
lo321,174095,Bronze,1
lo322,669683,Bronze,1
lo323,962414,Bronze,1
lo324,523188,Elite,1
lo325,697462,Gold,1
lo326,649442,Bronze,1
lo327,798881,Bronze,1
lo328,147906,Bronze,1
lo329,292586,Bronze,1
lo330,737651,Elite,1
lo331,352747,Bronze,1
lo332,534597,Bronze,1
lo333,643764,Bronze,1
lo334,506378,Silver,1
lo335,728879,Bronze,1
lo336,155968,Bronze,1
lo337,743536,Bronze,1
lo338,601583,Silver,1
lo339,681704,Bronze,1
lo340,838566,Bronze,1
lo341,306327,Elite,1
lo342,113531,Bronze,1
lo343,807156,Bronze,1
lo344,790341,Elite,1
lo345,369992,Bronze,1
lo346,511280,Silver,1
lo347,629518,Gold,1
lo348,132320,Bronze,1
lo349,207915,Bronze,1
lo350,482880,Bronze,1
lo351,811162,Bronze,1
lo352,281752,Bronze,1
lo353,763779,Elite,1
lo354,309477,Bronze,1
lo355,155701,Bronze,1
lo356,342886,Bronze,1
lo357,385816,Bronze,1
lo358,199708,Bronze,1
lo359,746091,Bronze,1
lo360,573515,Silver,1
lo361,638466,Gold,1
lo362,326829,Bronze,1
lo363,741042,Silver,1
lo364,746385,Gold,1
lo365,134046,Bronze,1
lo366,240951,Bronze,1
lo367,725479,Elite,1
lo368,555898,Bronze,1
lo369,269888,Bronze,1
lo370,219372,Silver,1
lo371,267348,Gold,1
lo372,965037,Bronze,1
lo373,441128,Silver,1
lo374,505897,Bronze,1
lo375,957039,Bronze,1
lo376,244001,Silver,1
lo377,482351,Gold,1
lo378,491647,Bronze,1
lo379,122858,Gold,1
lo380,743458,Bronze,1
lo381,614686,Bronze,1
lo382,162441,Gold,1
lo383,451928,Bronze,1
lo384,746377,Gold,1
lo385,561405,Gold,1
lo386,841814,Silver,1
lo387,784359,VIP,1
lo388,777871,Gold,1
lo389,238400,Bronze,1
lo390,800499,Bronze,1
lo391,265645,Bronze,1
lo392,182702,Gold,1
lo393,461235,Bronze,1
lo394,488708,Bronze,1
lo395,138321,Bronze,1
lo396,105106,Bronze,1
lo397,914005,Bronze,1
lo398,761502,Gold,1
lo399,316409,Bronze,1
lo400,763632,Bronze,1
lo401,656872,Elite,1
lo402,588424,Bronze,1
lo403,499990,Bronze,1
lo404,668865,Silver,1
lo405,459470,Bronze,1
lo406,841054,Bronze,1
lo407,410057,Bronze,1
lo408,422086,Platinum,1
lo409,494755,Bronze,1
lo410,547559,Bronze,1
lo411,474187,Bronze,1
lo412,159896,Silver,1
lo413,838853,Silver,1
lo414,841756,Bronze,1
lo415,980533,Bronze,1
lo416,529145,Silver,1
lo417,697840,Bronze,1
lo418,289476,Bronze,1
lo419,212895,Bronze,1
lo420,563633,Bronze,1
lo421,786218,Gold,1
lo422,569730,Elite,1
lo423,414207,Bronze,1
lo424,798752,Bronze,1
lo425,129137,Silver,1
lo426,736247,Elite,1
lo427,958299,Bronze,1
lo428,395428,Bronze,1
lo429,712292,Bronze,1
lo430,559805,Silver,1
lo431,891046,Bronze,1
lo432,968828,Bronze,1
lo433,385190,Bronze,1
lo434,931097,Silver,1
lo435,390975,Gold,1
lo436,160829,Bronze,1
lo437,673882,Silver,1
lo438,303598,Bronze,1
lo439,971848,Gold,1
lo440,350123,Bronze,1
lo441,643388,Gold,1
lo442,639064,Bronze,1
lo443,924056,Bronze,1
lo444,419830,Bronze,1
lo445,952493,Bronze,1
lo446,686291,Bronze,1
lo447,568039,Bronze,1
lo448,311865,Bronze,1
lo449,822811,Gold,1
lo450,448671,Bronze,1
lo451,668406,Elite,1
lo452,675541,Silver,1
lo453,383521,Gold,1
lo454,922388,Elite,1
lo455,220274,Elite,1
lo456,414719,Bronze,1
lo457,426470,Bronze,1
lo458,565900,Elite,1
lo459,393491,Bronze,1
lo460,866146,Bronze,1
lo461,755140,Bronze,1
lo462,176885,Elite,1
lo463,637977,Bronze,1
lo464,995121,Bronze,1
lo465,816493,Bronze,1
lo466,455023,Bronze,1
lo467,919025,Elite,1
lo468,465693,Bronze,1
lo469,943439,Bronze,1
lo470,258646,Elite,1
lo471,750138,Bronze,1
lo472,500988,Silver,1
lo473,632513,Bronze,1
lo474,632515,Elite,1
lo475,772647,Elite,1
lo476,633140,Silver,1
lo477,655425,Bronze,1
lo478,198834,Bronze,1
lo479,436181,Bronze,1
lo480,253734,Silver,1
lo481,645024,Bronze,1
lo482,834733,Silver,1
lo483,880603,Bronze,1
lo484,428600,Gold,1
lo485,591562,Bronze,1
lo486,220449,Silver,1
lo487,994745,Silver,1
lo488,286240,Bronze,1
lo489,700711,Elite,1
lo490,373216,Bronze,1
lo491,671034,Bronze,1
lo492,670131,Elite,1
lo493,361001,Elite,1
lo494,264857,Bronze,1
lo495,537817,Silver,1
lo496,253916,Bronze,1
lo497,646811,Silver,1
lo498,391611,Bronze,1
lo499,281449,Bronze,1
lo500,501271,Bronze,1
lo501,757424,Elite,1
lo502,134622,Bronze,1
lo503,349278,Silver,1
lo504,695107,Bronze,1
lo505,792314,Bronze,1
lo506,591579,Elite,1
lo507,621403,Silver,1
lo508,179508,Bronze,1
lo509,460110,Bronze,1
lo510,389732,Bronze,1
lo511,106964,Bronze,1
lo512,643492,Bronze,1
lo513,981802,Silver,1
lo514,228434,Bronze,1
lo515,420286,Elite,1
lo516,975212,Bronze,1
lo517,879844,Bronze,1
lo518,288435,Bronze,1
lo519,856775,Bronze,1
lo520,158874,Elite,1
lo521,832260,Bronze,1
lo522,979134,Bronze,1
lo523,275949,Bronze,1
lo524,672872,Bronze,1
lo525,377074,Bronze,1
lo526,779235,Bronze,1
lo527,502380,Bronze,1
lo528,399629,Silver,1
lo529,678833,Silver,1
lo530,798060,Bronze,1
lo531,109473,Bronze,1
lo532,556147,Elite,1
lo533,366250,Bronze,1
lo534,145146,Bronze,1
lo535,800767,Gold,1
lo536,686059,Gold,1
lo537,416291,Gold,1
lo538,760201,Bronze,1
lo539,865411,Silver,1
lo540,896951,Gold,1
lo541,637099,Bronze,1
lo542,796960,Bronze,1
lo543,437622,Bronze,1
lo544,234388,Bronze,1
lo545,450698,Bronze,1
lo546,219151,Gold,1
lo547,483393,Silver,1
lo548,326359,Bronze,1
lo549,287023,Bronze,1
lo550,155935,Bronze,1
lo551,182124,Silver,1
lo552,101531,Bronze,1
lo553,936742,Gold,1
lo554,608808,Bronze,1
lo555,536652,Bronze,1
lo556,775193,Bronze,1
lo557,244203,Bronze,1
lo558,881399,Silver,1
lo559,100753,Gold,1
lo560,117802,Bronze,1
lo561,314065,Bronze,1
lo562,235882,Bronze,1
lo563,314397,Bronze,1
lo564,583517,Bronze,1
lo565,902015,Bronze,1
lo566,942287,Silver,1
lo567,382733,Bronze,1
lo568,834081,Bronze,1
lo569,938270,Bronze,1
lo570,577942,Bronze,1
lo571,312797,Bronze,1
lo572,861162,Bronze,1
lo573,103199,Bronze,1
lo574,164303,Bronze,1
lo575,321954,Bronze,1
lo576,221205,Bronze,1
lo577,370099,Gold,1
lo578,811187,Gold,1
lo579,686965,Elite,1
lo580,533927,Bronze,1
lo581,275126,Bronze,1
lo582,378280,Bronze,1
lo583,846446,Bronze,1
lo584,237343,Bronze,1
lo585,428565,Bronze,1
lo586,326568,Bronze,1
lo587,904667,Bronze,1
lo588,653623,Bronze,1
lo589,593773,Bronze,1
lo590,363507,Elite,1
lo591,984079,Bronze,1
lo592,643705,Bronze,1
lo593,253215,Bronze,1
lo594,829743,Bronze,1
lo595,407132,Silver,1
lo596,827249,Elite,1
lo597,299412,Bronze,1
lo598,391433,Gold,1
lo599,739767,Bronze,1
lo600,368591,Bronze,1
lo601,596033,Bronze,1
lo602,473224,Bronze,1
lo603,358586,Bronze,1
lo604,527285,Elite,1
lo605,352056,Elite,1
lo606,853409,Bronze,1
lo607,491262,Bronze,1
lo608,121236,Bronze,1
lo609,559816,Gold,1
lo610,224384,Elite,1
lo611,564419,Bronze,1
lo612,792007,Bronze,1
lo613,590429,Bronze,1
lo614,236979,Bronze,1
lo615,118693,Gold,1
lo616,569961,Bronze,1
lo617,251436,Bronze,1
lo618,864983,Bronze,1
lo619,584913,Silver,1
lo620,231592,Bronze,1
lo621,206619,Bronze,1
lo622,151526,Bronze,1
lo623,388355,Elite,1
lo624,244499,Bronze,1
lo625,356152,Bronze,1
lo626,331977,Bronze,1
lo627,489139,Platinum,1
lo628,781827,Bronze,1
lo629,595750,Gold,1
lo630,994909,Elite,1
lo631,972495,Elite,1
lo632,417051,Bronze,1
lo633,800851,Bronze,1
lo634,904114,Bronze,1
lo635,199231,Bronze,1
lo636,824081,Bronze,1
lo637,896651,Elite,1
lo638,769449,Bronze,1
lo639,522285,Gold,1
lo640,320248,Silver,1
lo641,497160,Bronze,1
lo642,985118,Bronze,1
lo643,597847,Silver,1
lo644,853135,Elite,1
lo645,342057,Bronze,1
lo646,868899,Bronze,1
lo647,203777,Bronze,1
lo648,746358,Silver,1
lo649,551280,Bronze,1
lo650,649790,Gold,1
lo651,492090,Silver,1
lo652,547180,Bronze,1
lo653,189686,Bronze,1
lo654,486980,Gold,1
lo655,126097,Bronze,1
lo656,606802,Platinum,1
lo657,540142,Silver,1
lo658,192774,Gold,1
lo659,315806,Bronze,1
lo660,249183,Bronze,1
lo661,774047,Bronze,1
lo662,445443,Bronze,1
lo663,869941,Bronze,1
lo664,526374,Bronze,1
lo665,309480,Silver,1
lo666,484008,Bronze,1
lo667,966227,Bronze,1
lo668,550213,Bronze,1
lo669,136022,Bronze,1
lo670,369562,Bronze,1
lo671,138001,Bronze,1
lo672,994884,Elite,1
lo673,216937,Bronze,1
lo674,967161,Bronze,1
lo675,904253,Elite,1
lo676,996900,Elite,1
lo677,276891,Gold,1
lo678,338857,Bronze,1
lo679,559632,Bronze,1
lo680,841674,Elite,1
lo681,741244,Elite,1
lo682,322061,Elite,1
lo683,916737,Bronze,1
lo684,470504,Bronze,1
lo685,119469,Gold,1
lo686,837277,Bronze,1
lo687,212430,Bronze,1
lo688,403500,Bronze,1
lo689,443784,Bronze,1
lo690,152901,Bronze,1
lo691,901147,Bronze,1
lo692,169129,Elite,1
lo693,233550,Elite,1
lo694,222050,Gold,1
lo695,912092,Bronze,1
lo696,909075,Bronze,1
lo697,731536,Gold,1
lo698,697195,Elite,1
lo699,127477,Gold,1
lo700,326802,Bronze,1
lo701,692465,Bronze,1
lo702,837967,Bronze,1
lo703,501456,Silver,1
lo704,530573,Bronze,1
lo705,763797,Bronze,1
lo706,711643,Bronze,1
lo707,150656,Bronze,1
lo708,589795,Gold,1
lo709,672391,Bronze,1
lo710,561552,Bronze,1
lo711,948783,Bronze,1
lo712,727047,Bronze,1
lo713,492448,Silver,1
lo714,701992,VIP,1
lo715,847005,Bronze,1
lo716,611655,Elite,1
lo717,385650,Bronze,1
lo718,678958,Elite,1
lo719,328668,Bronze,1
lo720,365650,Bronze,1
lo721,472311,Bronze,1
lo722,437469,Platinum,1
lo723,694870,Bronze,1
lo724,439092,Gold,1
lo725,260513,Bronze,1
lo726,638126,Silver,1
lo727,884968,Bronze,1
lo728,188546,Elite,1
lo729,975315,Bronze,1
lo730,203517,Bronze,1
lo731,602426,Bronze,1
lo732,760169,Elite,1
lo733,100853,Bronze,1
lo734,100659,Bronze,1
lo735,955691,Bronze,1
lo736,675824,Bronze,1
lo737,105932,Bronze,1
lo738,104787,Bronze,1
lo739,311177,Bronze,1
lo740,891780,Bronze,1
lo741,505488,Silver,1
lo742,435777,Bronze,1
lo743,745688,Bronze,1
lo744,557349,Bronze,1
lo745,683871,Bronze,1
lo746,125180,Bronze,1
lo747,883735,Gold,1
lo748,870947,Bronze,1
lo749,163459,Bronze,1
lo750,194102,Silver,1
lo751,848632,Bronze,1
lo752,594513,Bronze,1
lo753,459835,Bronze,1
lo754,574978,Silver,1
lo755,257974,Bronze,1
lo756,226989,Gold,1
lo757,796002,Elite,1
lo758,219984,Silver,1
lo759,123269,Bronze,1
lo760,289047,Bronze,1
lo761,521086,Elite,1
lo762,936232,Bronze,1
lo763,318938,Bronze,1
lo764,658407,Silver,1
lo765,903172,Elite,1
lo766,382983,Bronze,1
lo767,269287,Bronze,1
lo768,171181,Bronze,1
lo769,398784,Gold,1
lo770,362742,Bronze,1
lo771,420677,Silver,1
lo772,433307,Bronze,1
lo773,281874,Bronze,1
lo774,617960,Gold,1
lo775,976804,Silver,1
lo776,372652,Bronze,1
lo777,343341,VIP,1
lo778,615224,Gold,1
lo779,722629,Bronze,1
lo780,911476,Bronze,1
lo781,453494,Bronze,1
lo782,932622,Silver,1
lo783,400260,Silver,1
lo784,347497,Bronze,1
lo785,672726,Bronze,1
lo786,341892,Bronze,1
lo787,719494,Bronze,1
lo788,874167,Bronze,1
lo789,306100,Elite,1
lo790,176849,Bronze,1
lo791,434257,Elite,1
lo792,793669,Bronze,1
lo793,295738,Bronze,1
lo794,296539,Bronze,1
lo795,426317,Silver,1
lo796,565627,Bronze,1
lo797,527189,Bronze,1
lo798,705066,Elite,1
lo799,349913,Bronze,1
lo800,847131,Bronze,1
lo801,864485,Gold,1
lo802,850726,Silver,1
lo803,494141,Bronze,1
lo804,941324,Bronze,1
lo805,898427,Bronze,1
lo806,960399,Bronze,1
lo807,483159,Bronze,1
lo808,390419,Bronze,1
lo809,756526,Bronze,1
lo810,538702,Bronze,1
lo811,280810,Bronze,1
lo812,841963,Bronze,1
lo813,256691,Bronze,1
lo814,120799,Bronze,1
lo815,195594,Bronze,1
lo816,977078,Elite,1
lo817,984409,Bronze,1
lo818,406354,Bronze,1
lo819,229942,Gold,1
lo820,568594,Bronze,1
lo821,857830,Bronze,1
lo822,962270,Gold,1
lo823,600789,Bronze,1
lo824,126873,Elite,1
lo825,770236,Bronze,1
lo826,908054,Silver,1
lo827,386563,Bronze,1
lo828,401007,Bronze,1
lo829,899271,Bronze,1
lo830,961675,Bronze,1
lo831,811746,Bronze,1
lo832,179554,Bronze,1
lo833,215715,Bronze,1
lo834,708724,Bronze,1
lo835,784931,Bronze,1
lo836,996874,Bronze,1
lo837,153334,Bronze,1
lo838,544696,Bronze,1
lo839,958391,Silver,1
lo840,477665,Gold,1
lo841,347903,Bronze,1
lo842,975482,Bronze,1
lo843,155763,Bronze,1
lo844,558455,Bronze,1
lo845,289665,Bronze,1
lo846,789288,Bronze,1
lo847,423854,Bronze,1
lo848,716750,Elite,1
lo849,182270,Bronze,1
lo850,721474,Bronze,1
lo851,732744,Bronze,1
lo852,842583,Bronze,1
lo853,677976,Bronze,1
lo854,292477,Gold,1
lo855,537962,Gold,1
lo856,700748,Gold,1
lo857,326624,Gold,1
lo858,998442,Elite,1
lo859,575147,Bronze,1
lo860,401830,Bronze,1
lo861,740715,Silver,1
lo862,772666,Bronze,1
lo863,533634,Elite,1
lo864,449095,Bronze,1
lo865,301563,Bronze,1
lo866,744861,Bronze,1
lo867,100518,Gold,1
lo868,619486,Bronze,1
lo869,606600,Elite,1
lo870,743257,Bronze,1
lo871,811139,Bronze,1
lo872,193365,Gold,1
lo873,863392,Bronze,1
lo874,330280,Bronze,1
lo875,351513,Elite,1
lo876,958472,Gold,1
lo877,533742,Bronze,1
lo878,999913,Bronze,1
lo879,921499,Bronze,1
lo880,172764,Bronze,1
lo881,618733,Bronze,1
lo882,263594,Elite,1
lo883,188668,Elite,1
lo884,418114,Bronze,1
lo885,640314,Gold,1
lo886,603082,Bronze,1
lo887,494422,Elite,1
lo888,636388,Elite,1
lo889,421108,Bronze,1
lo890,382717,Bronze,1
lo891,670294,Elite,1
lo892,346035,Gold,1
lo893,739284,Bronze,1
lo894,983557,Bronze,1
lo895,631424,Bronze,1
lo896,311239,Bronze,1
lo897,603029,Bronze,1
lo898,938486,Bronze,1
lo899,418613,Bronze,1
lo900,408665,Bronze,1
lo901,499563,Bronze,1
lo902,421589,Silver,1
lo903,567533,Bronze,1
lo904,972686,Bronze,1
lo905,379228,Bronze,1
lo906,567104,Bronze,1
lo907,879036,Bronze,1
lo908,531105,Elite,1
lo909,464344,Bronze,1
lo910,471303,Bronze,1
lo911,303202,Bronze,1
lo912,159114,Bronze,1
lo913,485372,Bronze,1
lo914,355099,Bronze,1
lo915,196240,Gold,1
lo916,419802,Bronze,1
lo917,214942,Bronze,1
lo918,401623,Elite,1
lo919,291556,Bronze,1
lo920,909228,VIP,1
lo921,724197,Elite,1
lo922,810581,Elite,1
lo923,857389,Gold,1
lo924,414318,Bronze,1
lo925,435129,Bronze,1
lo926,587592,Silver,1
lo927,206941,Bronze,1
lo928,671923,Bronze,1
lo929,828136,Bronze,1
lo930,637001,Gold,1
lo931,210100,Silver,1
lo932,265974,Bronze,1
lo933,675442,Silver,1
lo934,707146,Bronze,1
lo935,763132,Gold,1
lo936,812435,Bronze,1
lo937,705888,Bronze,1
lo938,632974,Elite,1
lo939,367338,Silver,1
lo940,497816,Bronze,1
lo941,650826,Elite,1
lo942,298883,Bronze,1
lo943,580982,Bronze,1
lo944,356948,Bronze,1
lo945,838682,Bronze,1
lo946,438035,Bronze,1
lo947,996084,Silver,1
lo948,238442,Elite,1
lo949,839287,Gold,1
lo950,551510,Bronze,1
lo951,288738,Silver,1
lo952,308480,Gold,1
lo953,459327,Bronze,1
lo954,287887,Bronze,1
lo955,915337,Bronze,1
lo956,342955,Bronze,1
lo957,454551,Bronze,1
lo958,961966,Bronze,1
lo959,393280,Bronze,1
lo960,335003,Bronze,1
lo961,156198,VIP,1
lo962,525287,Bronze,1
lo963,557687,Bronze,1
lo964,269245,Bronze,1
lo965,903161,Bronze,1
lo966,846836,Elite,1
lo967,926829,Bronze,1
lo968,289296,Bronze,1
lo969,414076,Gold,1
lo970,412928,Bronze,1
lo971,751164,Gold,1
lo972,568456,Bronze,1
lo973,154097,Silver,1
lo974,215719,Bronze,1
lo975,376969,Bronze,1
lo976,778819,Bronze,1
lo977,752398,VIP,1
lo978,831035,Bronze,1
lo979,935356,Bronze,1
lo980,758512,Bronze,1
lo981,490670,Bronze,1
lo982,674982,Silver,1
lo983,880738,Bronze,1
lo984,803234,Bronze,1
lo985,197079,Bronze,1
lo986,919409,Gold,1
lo987,996639,Bronze,1
lo988,964416,Bronze,1
lo989,198424,Gold,1
lo990,885342,Gold,1
lo991,345811,Bronze,1
lo992,253573,Elite,1
lo993,573452,Silver,1
lo994,773857,Bronze,1
lo995,186600,Silver,1
lo996,912238,Bronze,1
lo997,374658,Gold,1
lo998,153225,Bronze,1
lo999,648588,Gold,1
lo1000,423250,Silver,1
lo1001,783759,Bronze,1
lo1002,890748,Bronze,1
lo1003,223018,Bronze,1
lo1004,789289,Gold,1
lo1005,978097,Bronze,1
lo1006,457680,Elite,1
lo1007,842066,Bronze,1
lo1008,292844,Silver,1
lo1009,529579,Elite,1
lo1010,847559,Bronze,1
lo1011,154398,Elite,1
lo1012,573871,Bronze,1
lo1013,710775,Bronze,1
lo1014,874939,Silver,1
lo1015,187975,Elite,1
lo1016,741790,Bronze,1
lo1017,573681,Elite,1
lo1018,455986,Elite,1
lo1019,338263,Silver,1
