location_id,country,province_or_state,city,location_code
l193,Germany,Sachsen,Dresden,Suburban
l194,Germany,Bayern,Landshut,Rural
l195,United States,Arkansas,Fayetteville,Rural
l196,United Kingdom,Brighton and Hove,Maldon Road,Rural
l197,United Kingdom,Reading,Stuart Close,Urban
l198,Canada,New Brunswick,Moncton,Suburban
l199,Germany,Hessen,Frankfurt,Urban
l200,Canada,British Columbia,Vancouver,Rural
l201,United States,Arkansas,Fayetteville,Suburban
l202,Germany,Hessen,Frankfurt,Urban
l203,United States,Colorado,Denver,Urban
l204,United States,California,Los Angeles,Urban
l205,Canada,Ontario,Ottawa,Rural
l206,Canada,Quebec,Montreal,Suburban
l207,United States,Arizona,Phoenix,Rural
l208,Germany,Nordrhein-Westfalen,Bonn,Suburban
l209,United Kingdom,Oxfordshire,Oxford,Suburban
l210,Canada,Ontario,Toronto,Suburban
l211,Canada,Ontario,Toronto,Rural
l212,Germany,Hessen,Frankfurt,Suburban
l213,United States,California,Los Angeles,Rural
l214,Canada,Manitoba,Winnipeg,Suburban
l215,United Kingdom,Brighton and Hove,Franklin Street,Urban
l216,Canada,Alberta,Edmonton,Suburban
l217,United States,Arizona,Phoenix,Suburban
l218,United Kingdom,Reading,Mayfield Drive,Suburban
l219,United States,Florida,Orlando,Urban
l220,Germany,Bayern,Landshut,Rural
l221,Germany,Hamburg,Hamburg,Rural
l222,Canada,British Columbia,Whistler,Suburban
l223,United Kingdom,Oxfordshire,Oxford,Suburban
l224,Canada,British Columbia,Vancouver,Rural
l225,United States,California,Los Angeles,Rural
l226,United States,Delaware,Wilmington,Rural
l227,Canada,Alberta,Peace River,Rural
l228,Germany,Bremen,Bremen,Urban
l229,United Kingdom,West Midlands,Birmingham,Rural
l230,United States,Alabama,Birmingham,Suburban
l231,Germany,Niedersachsen,Hannover,Rural
l232,Germany,Nordrhein-Westfalen,Dortmund,Urban
l233,United Kingdom,Oxfordshire,Oxford,Urban
l234,United States,Colorado,Denver,Suburban
l235,Germany,Nordrhein-Westfalen,Bonn,Suburban
l236,United States,Alabama,Mobile,Rural
l237,Canada,British Columbia,Dawson Creek,Suburban
l238,Canada,Ontario,Sudbury,Suburban
l239,Germany,Bayern,Munchen,Urban
l240,United States,Colorado,Denver,Rural
l241,Germany,Nordrhein-Westfalen,Arnsberg,Urban
l242,United Kingdom,Brighton and Hove,Eley Drive,Rural
l243,United States,California,San Francisco,Suburban
l244,Canada,British Columbia,Vancouver,Suburban
l245,Germany,Niedersachsen,Hannover,Rural
l246,Canada,Quebec,Montreal,Urban
l247,United Kingdom,Hampshire,Southampton,Urban
l248,Germany,Saarland,Saarbrucken,Rural
l249,United Kingdom,Reading,Mayfield Drive,Rural
l250,Canada,British Columbia,Vancouver,Suburban
l251,United States,Georgia,Atlanta,Urban
l252,United Kingdom,Greater London,London,Suburban
l253,United Kingdom,West Midlands,Birmingham,Rural
l254,United States,Colorado,Boulder,Rural
l255,United Kingdom,Greater London,London,Rural
l256,Germany,Nordrhein-Westfalen,Dusseldorf,Suburban
l257,Canada,British Columbia,Whistler,Suburban
l258,United States,California,San Francisco,Urban
l259,Canada,British Columbia,Kelowna,Suburban
l260,United States,Georgia,Atlanta,Urban
l261,Germany,Hessen,Frankfurt,Suburban
l262,Canada,Alberta,Edmonton,Urban
l263,Germany,Hessen,Frankfurt,Rural
l264,Germany,Mecklenburg-Vorpommern,Solingen,Rural
l265,United States,Colorado,Denver,Rural
l266,United States,California,Oakland,Suburban
l267,United States,Colorado,Denver,Suburban
l268,Germany,Nordrhein-Westfalen,Bonn,Suburban
l269,Germany,Hamburg,Hamburg,Rural
l270,United States,California,San Clara,Suburban
l271,Canada,Nova Scotia,Halifax,Rural
l272,Germany,Hessen,Frankfurt,Rural
l273,United States,Florida,Miami,Rural
l274,Germany,Berlin,Berlin,Urban
l275,United Kingdom,Greater London,London,Urban
l276,Canada,Ontario,Toronto,Suburban
l277,United Kingdom,Greater London,London,Urban
l278,United Kingdom,Reading,Ilkley Road,Rural
l279,United Kingdom,West Midlands,Birmingham,Rural
l280,Canada,British Columbia,Vancouver,Suburban
l281,United States,Colorado,Denver,Rural
l282,United States,California,San Diego,Urban
l283,United Kingdom,Reading,Stuart Close,Urban
l284,United States,California,San Francisco,Urban
l285,United States,Colorado,Denver,Rural
l286,United States,Alaska,Juneau,Rural
l287,United States,California,Los Angeles,Suburban
l288,United Kingdom,Greater London,London,Suburban
l289,United States,California,Berkeley,Suburban
l290,Canada,Quebec,Montreal,Urban
l291,United States,Colorado,Boulder,Rural
l292,United Kingdom,Greater London,London,Urban
l293,Germany,Bayern,Munchen,Urban
l294,Germany,Hessen,Frankfurt,Suburban
l295,United Kingdom,Greater London,London,Rural
l296,Germany,Berlin,Berlin,Suburban
l297,Germany,Bayern,Munchen,Rural
l298,Germany,Bremen,Bremen,Urban
l299,United Kingdom,Greater London,London,Suburban
l300,United Kingdom,Reading,Woodwaye,Suburban
l301,United States,California,Los Angeles,Rural
l302,Germany,Bremen,Bremen,Rural
l303,United Kingdom,Shropshire,Telford,Suburban
l304,United Kingdom,Oxfordshire,Oxford,Rural
l305,United States,Alaska,Anchorage,Urban
l306,United Kingdom,Reading,Mayfield Drive,Suburban
l307,United States,Florida,Miami,Urban
l308,United States,Colorado,Denver,Suburban
l309,Germany,Bayern,Landshut,Suburban
l310,Canada,Quebec,Montreal,Urban
l311,Canada,Ontario,Toronto,Urban
l312,United Kingdom,West Midlands,Birmingham,Rural
l313,United Kingdom,Greater London,London,Suburban
l314,United States,Alabama,Mobile,Rural
l315,Canada,Saskatchewan,Regina,Rural
l316,United Kingdom,Brighton and Hove,Eley Drive,Suburban
l317,United Kingdom,West Midlands,Birmingham,Rural
l318,Canada,Quebec,Quebec City,Urban
l319,Germany,Saarland,Saarbrucken,Urban
l320,United Kingdom,Luton,Carlton Crescent,Rural
l321,United Kingdom,Buckinghamshire,Milton Keynes,Suburban
l322,United States,Colorado,Denver,Suburban
l323,United Kingdom,Hampshire,Southampton,Urban
l324,Canada,British Columbia,Dawson Creek,Suburban
l325,Germany,Hessen,Frankfurt,Rural
l326,Canada,Alberta,Edmonton,Suburban
l327,Canada,British Columbia,Vancouver,Urban
l328,United Kingdom,Brighton and Hove,Franklin Street,Urban
l329,United Kingdom,Brighton and Hove,Eley Drive,Rural
l330,United States,Colorado,Boulder,Suburban
l331,Canada,Ontario,Trenton,Suburban
l332,Germany,Niedersachsen,Hannover,Rural
l333,Germany,Mecklenburg-Vorpommern,Solingen,Suburban
l334,United Kingdom,Reading,Robindale Avenue,Rural
l335,United States,Florida,Miami,Urban
l336,United Kingdom,Buckinghamshire,Milton Keynes,Suburban
l337,United Kingdom,Hampshire,Southampton,Rural
l338,Canada,Alberta,Calgary,Suburban
l339,Germany,Rheinland-Pfalz,Mainz,Suburban
l340,Germany,Bremen,Bremen,Urban
l341,United States,California,Los Angeles,Rural
l342,Germany,Nordrhein-Westfalen,Bonn,Rural
l343,United Kingdom,Reading,Ilkley Road,Suburban
l344,Canada,Quebec,Montreal,Rural
l345,United States,California,Berkeley,Urban
l346,United Kingdom,West Midlands,Birmingham,Rural
l347,United States,Colorado,Denver,Urban
l348,United States,Alaska,Juneau,Suburban
l349,United States,California,San Diego,Rural
l350,United Kingdom,West Midlands,Birmingham,Rural
l351,Canada,Newfoundland,St. John's,Suburban
l352,United States,Arkansas,Little Rock,Rural
l353,Germany,Bayern,Munchen,Suburban
l354,Germany,Hessen,Frankfurt,Suburban
l355,United Kingdom,Reading,Woodwaye,Suburban
l356,United States,California,Los Angeles,Rural
l357,United States,Florida,Miami,Urban
l358,United Kingdom,West Midlands,Birmingham,Rural
l359,United States,Colorado,Denver,Rural
l360,United Kingdom,Reading,Back Lane,Suburban
l361,Canada,British Columbia,Vancouver,Urban
l362,United States,Florida,Miami,Urban
l363,United Kingdom,Oxfordshire,Oxford,Suburban
l364,Canada,Nova Scotia,Halifax,Suburban
l365,Germany,Sachsen,Dresden,Suburban
l366,United Kingdom,Reading,Stuart Close,Urban
l367,United Kingdom,Hampshire,Southampton,Suburban
l368,United States,Delaware,Wilmington,Rural
l369,Germany,Bayern,Munchen,Rural
l370,Germany,Hessen,Frankfurt,Suburban
l371,Germany,Nordrhein-Westfalen,Dusseldorf,Urban
l372,United Kingdom,Luton,Carlton Crescent,Suburban
l373,Canada,British Columbia,Vancouver,Suburban
l374,Germany,Bayern,Munchen,Suburban
l375,Germany,Bremen,Bremen,Urban
l376,United Kingdom,Reading,Mayfield Drive,Suburban
l377,Canada,Quebec,Montreal,Urban
l378,Germany,Bayern,Munchen,Suburban
l379,Canada,Quebec,Montreal,Rural
l380,Germany,Nordrhein-Westfalen,Koln,Suburban
l381,Germany,Hessen,Frankfurt,Suburban
l382,Germany,Baden-Wurttemberg,Leonberg,Rural
l383,United States,Alabama,Birmingham,Urban
l384,Canada,Quebec,Quebec City,Suburban
l385,United States,Alabama,Mobile,Rural
l386,Germany,Hessen,Frankfurt,Suburban
l387,United Kingdom,West Midlands,Birmingham,Suburban
l388,Canada,Nova Scotia,Halifax,Rural
l389,United States,California,Los Angeles,Urban
l390,Canada,New Brunswick,Fredericton,Suburban
l391,United Kingdom,Greater London,London,Rural
l392,United States,California,Los Angeles,Rural
l393,United States,Alaska,Anchorage,Rural
l394,United States,Georgia,Atlanta,Rural
l395,United States,California,Los Angeles,Suburban
l396,Germany,Bayern,Munchen,Urban
l397,United Kingdom,Greater London,London,Urban
l398,Germany,Hamburg,Hamburg,Rural
l399,United States,Colorado,Denver,Urban
l400,Germany,Berlin,Berlin,Rural
l401,United States,California,Los Angeles,Rural
l402,United Kingdom,Greater London,London,Rural
l403,United Kingdom,West Midlands,Birmingham,Urban
l404,Canada,British Columbia,Vancouver,Suburban
l405,United Kingdom,Reading,Woodwaye,Urban
l406,United Kingdom,West Midlands,Birmingham,Urban
l407,United Kingdom,Greater London,London,Suburban
l408,United States,Delaware,Wilmington,Rural
l409,Germany,Thuringen,Erfurt,Rural
l410,Canada,New Brunswick,Moncton,Rural
l411,United States,Colorado,Denver,Suburban
l412,Germany,Hamburg,Hamburg,Suburban
l413,United States,Georgia,Atlanta,Suburban
l414,United Kingdom,Greater London,London,Rural
l415,United States,Alabama,Mobile,Urban
l416,United Kingdom,Buckinghamshire,Milton Keynes,Rural
l417,Canada,Ontario,Toronto,Urban
l418,Canada,British Columbia,Vancouver,Rural
l419,Germany,Nordrhein-Westfalen,Koln,Urban
l420,United States,California,Los Angeles,Suburban
l421,Germany,Bremen,Bremen,Rural
l422,United States,Arkansas,Fayetteville,Suburban
l423,Canada,Alberta,Edmonton,Urban
l424,Canada,Manitoba,Winnipeg,Rural
l425,Germany,Hamburg,Hamburg,Suburban
l426,United States,Colorado,Denver,Rural
l427,Canada,Ontario,Thunder Bay,Urban
l428,United States,California,Los Angeles,Suburban
l429,United States,Alabama,Mobile,Suburban
l430,Germany,Bayern,Landshut,Rural
l431,Canada,Quebec,Montreal,Rural
l432,Canada,New Brunswick,Fredericton,Rural
l433,Canada,Quebec,Montreal,Suburban
l434,Canada,Manitoba,Winnipeg,Rural
l435,United States,California,San Francisco,Suburban
l436,Germany,Hamburg,Hamburg,Urban
l437,United States,California,San Francisco,Rural
l438,United States,California,Los Angeles,Urban
l439,United States,California,San Diego,Urban
l440,United Kingdom,Greater London,London,Suburban
l441,United States,Colorado,Boulder,Rural
l442,United States,Connecticut,Norwalk,Rural
l443,Canada,Prince Edward Island,Charlottetown,Suburban
l444,United States,California,San Francisco,Suburban
l445,United Kingdom,Greater London,London,Rural
l446,United States,Colorado,Denver,Urban
l447,United States,Colorado,Denver,Rural
l448,Germany,Hamburg,Hamburg,Rural
l449,Canada,Saskatchewan,Regina,Urban
l450,United Kingdom,Greater London,London,Rural
l451,United Kingdom,Greater London,London,Suburban
l452,Canada,British Columbia,Vancouver,Urban
l453,Germany,Bremen,Bremen,Rural
l454,Germany,Baden-Wurttemberg,Mannheim,Suburban
l455,Germany,Hessen,Frankfurt,Suburban
l456,United States,California,Los Angeles,Urban
l457,United Kingdom,Hampshire,Southampton,Suburban
l458,Canada,Quebec,Montreal,Suburban
l459,United States,California,San Francisco,Suburban
l460,Germany,Sachsen-Anhalt,Magdeburg,Urban
l461,United Kingdom,West Midlands,Birmingham,Urban
l462,Canada,British Columbia,Dawson Creek,Suburban
l463,United States,Florida,Miami,Urban
l464,United Kingdom,Greater London,London,Suburban
l465,Germany,Berlin,Berlin,Urban
l466,Canada,Quebec,Montreal,Urban
l467,United States,California,San Diego,Rural
l468,Germany,Bayern,Landshut,Urban
l469,United States,Arizona,Phoenix,Urban
l470,Germany,Nordrhein-Westfalen,Krefeld,Suburban
l471,United Kingdom,Brighton and Hove,Maldon Road,Urban
l472,United States,Delaware,Dover,Suburban
l473,Germany,Bayern,Munchen,Urban
l474,Canada,British Columbia,Vancouver,Rural
l475,Germany,Hamburg,Hamburg,Suburban
l476,Canada,British Columbia,Victoria,Suburban
l477,United States,Florida,Miami,Urban
l478,United Kingdom,Greater London,London,Suburban
l479,Germany,Bayern,Munchen,Urban
l480,United Kingdom,Hampshire,Southampton,Rural
l481,United States,Colorado,Boulder,Rural
l482,Canada,Manitoba,Winnipeg,Rural
l483,United States,Georgia,Atlanta,Rural
l484,Germany,Thuringen,Erfurt,Rural
l485,United States,California,Berkeley,Suburban
l486,Germany,Hessen,Frankfurt,Rural
l487,Germany,Nordrhein-Westfalen,Bonn,Rural
l488,United Kingdom,Greater London,London,Suburban
l489,Germany,Nordrhein-Westfalen,Bonn,Suburban
l490,United States,California,Los Angeles,Rural
l491,Germany,Saarland,Saarbrucken,Urban
l492,Canada,Saskatchewan,Regina,Rural
l493,Germany,Berlin,Berlin,Rural
l494,United Kingdom,Brighton and Hove,Franklin Street,Urban
l495,United States,California,Los Angeles,Suburban
l496,United States,California,Anaheim,Rural
l497,United Kingdom,West Midlands,Birmingham,Rural
l498,Canada,New Brunswick,Fredericton,Suburban
l499,Canada,British Columbia,Kelowna,Rural
l500,United States,Georgia,Atlanta,Suburban
l501,Germany,Hessen,Frankfurt,Suburban
l502,United States,Colorado,Boulder,Rural
l503,Canada,Newfoundland,St. John's,Suburban
l504,Canada,Quebec,Montreal,Urban
l505,United States,Florida,Miami,Rural
l506,Canada,Ontario,Trenton,Rural
l507,United States,Colorado,Boulder,Suburban
l508,Germany,Hessen,Frankfurt,Urban
l509,Canada,Ontario,Ottawa,Urban
l510,Germany,Hessen,Frankfurt,Suburban
l511,Canada,New Brunswick,Moncton,Suburban
l512,United States,Georgia,Atlanta,Urban
l513,United States,DC,Washington,Rural
l514,United Kingdom,Greater London,London,Urban
l515,United Kingdom,Hampshire,Southampton,Urban
l516,Canada,New Brunswick,Fredericton,Suburban
l517,Canada,Ontario,Toronto,Suburban
l518,Germany,Berlin,Berlin,Rural
l519,Germany,Thuringen,Erfurt,Urban
l520,United States,Delaware,Wilmington,Rural
l521,United States,DC,Washington,Suburban
l522,Germany,Bayern,Munchen,Rural
l523,Canada,Ontario,Ottawa,Suburban
l524,United States,Alaska,Anchorage,Suburban
l525,Germany,Mecklenburg-Vorpommern,Solingen,Suburban
l526,United States,Colorado,Denver,Urban
l527,Germany,Berlin,Berlin,Suburban
l528,United States,California,San Francisco,Suburban
l529,United Kingdom,Hampshire,Southampton,Rural
l530,Germany,Berlin,Berlin,Urban
l531,Germany,Niedersachsen,Hannover,Rural
l532,Germany,Nordrhein-Westfalen,Dusseldorf,Suburban
l533,Canada,Quebec,Montreal,Urban
l534,United States,California,San Diego,Urban
l535,Germany,Berlin,Berlin,Rural
l536,Canada,Quebec,Montreal,Urban
l537,Germany,Bayern,Munchen,Suburban
l538,United States,California,San Diego,Urban
l539,Canada,Newfoundland,St. John's,Rural
l540,United States,Alabama,Birmingham,Urban
l541,United States,Arizona,Phoenix,Suburban
l542,United States,California,San Clara,Suburban
l543,United States,Colorado,Boulder,Urban
l544,United Kingdom,Hampshire,Southampton,Suburban
l545,Canada,British Columbia,Vancouver,Rural
l546,United Kingdom,Oxfordshire,Oxford,Urban
l547,United States,Florida,Miami,Rural
l548,United States,Delaware,Dover,Suburban
l549,Canada,Quebec,Montreal,Rural
l550,United Kingdom,Greater London,London,Urban
l551,United Kingdom,Reading,Woodwaye,Suburban
l552,United States,California,Pasadena,Urban
l553,United Kingdom,West Midlands,Birmingham,Urban
l554,United States,California,Los Angeles,Rural
l555,United States,Delaware,Dover,Urban
l556,Canada,Ontario,Toronto,Suburban
l557,Germany,Bayern,Landshut,Suburban
l558,Canada,Ontario,Toronto,Suburban
l559,Canada,Quebec,Quebec City,Urban
l560,Germany,Nordrhein-Westfalen,Dusseldorf,Urban
l561,Canada,Ontario,Kingston,Rural
l562,Canada,Ontario,Toronto,Rural
l563,Germany,Bremen,Bremen,Rural
l564,United States,California,San Diego,Rural
l565,United Kingdom,Greater London,London,Suburban
l566,Canada,Ontario,Toronto,Suburban
l567,Germany,Hamburg,Hamburg,Rural
l568,Canada,Ontario,Ottawa,Urban
l569,United States,California,Pasadena,Suburban
l570,United Kingdom,Nottinghamshire,Nottingham,Rural
l571,Germany,Hessen,Frankfurt,Urban
l572,Canada,British Columbia,West Vancouver,Urban
l573,United Kingdom,Greater London,London,Urban
l574,United Kingdom,Brighton and Hove,Eley Drive,Rural
l575,Canada,Alberta,Banff,Rural
l576,Canada,Manitoba,Winnipeg,Rural
l577,United States,California,Pasadena,Rural
l578,Germany,Hessen,Frankfurt,Rural
l579,Germany,Bremen,Bremen,Suburban
l580,United Kingdom,Greater London,London,Rural
l581,Germany,Hamburg,Hamburg,Urban
l582,United States,Florida,Miami,Suburban
l583,United Kingdom,Greater London,London,Suburban
l584,United States,Colorado,Denver,Rural
l585,Canada,Ontario,Toronto,Suburban
l586,Germany,Hamburg,Hamburg,Urban
l587,United States,California,San Francisco,Suburban
l588,United Kingdom,Shropshire,Telford,Suburban
l589,United Kingdom,Greater London,London,Suburban
l590,United Kingdom,Luton,Carlton Crescent,Suburban
l591,Germany,Bremen,Bremen,Rural
l592,Canada,British Columbia,Dawson Creek,Urban
l593,United Kingdom,Oxfordshire,Oxford,Urban
l594,United Kingdom,Greater London,London,Suburban
l595,United States,DC,Washington,Urban
l596,United States,California,Los Angeles,Suburban
l597,Canada,Manitoba,Winnipeg,Suburban
l598,United Kingdom,Reading,Woodwaye,Urban
l599,Canada,Alberta,Edmonton,Urban
l600,Canada,British Columbia,Vancouver,Urban
l601,Canada,Alberta,Banff,Rural
l602,United States,California,Berkeley,Rural
l603,Canada,Manitoba,Winnipeg,Suburban
l604,Germany,Bayern,Nurnberg,Suburban
l605,United States,Colorado,Denver,Rural
l606,United Kingdom,Brighton and Hove,Franklin Street,Rural
l607,Germany,Bayern,Munchen,Suburban
l608,Canada,British Columbia,Vancouver,Rural
l609,United States,Colorado,Denver,Suburban
l610,Canada,Ontario,Toronto,Rural
l611,United States,Colorado,Boulder,Urban
