profile_id,month_as_member,education,marital_status
cp266,46,Bachelor,Married
cp267,50,Bachelor,Single
cp268,64,Bachelor,Married
cp269,50,Bachelor,Married
cp270,62,Bachelor,Married
cp271,43,Bachelor,Married
cp272,49,College,Divorced
cp273,53,Master,Single
cp274,52,Bachelor,Divorced
cp275,38,Bachelor,Single
cp276,47,College,Single
cp277,35,Bachelor,Single
cp278,58,Bachelor,Married
cp279,62,Bachelor,Married
cp280,55,Bachelor,Married
cp281,66,Bachelor,Married
cp282,51,College,Single
cp283,38,College,Single
cp284,51,Bachelor,Married
cp285,44,Bachelor,Married
cp286,63,Bachelor,Single
cp287,54,Bachelor,Single
cp288,63,Bachelor,Married
cp289,56,Bachelor,Married
cp290,52,Bachelor,Married
cp291,27,College,Married
cp292,69,Bachelor,Married
cp293,64,Bachelor,Married
cp294,34,High School or Below,Married
cp295,56,College,Divorced
cp296,26,Bachelor,Married
cp297,61,College,Single
cp298,59,Bachelor,Married
cp299,26,Bachelor,Divorced
cp300,52,Bachelor,Married
cp301,62,College,Single
cp302,62,High School or Below,Single
cp303,60,Bachelor,Married
cp304,28,Bachelor,Married
cp305,44,Bachelor,Single
cp306,37,College,Divorced
cp307,26,Bachelor,Married
cp308,32,Bachelor,Single
cp309,33,Bachelor,Married
cp310,66,College,Married
cp311,38,Bachelor,Single
cp312,53,College,Single
cp313,44,College,Single
cp314,55,Bachelor,Single
cp315,44,Bachelor,Divorced
cp316,70,Bachelor,Divorced
cp317,51,Bachelor,Divorced
cp318,48,College,Divorced
cp319,58,Bachelor,Married
cp320,50,Bachelor,Married
cp321,44,Bachelor,Divorced
cp322,43,Bachelor,Married
cp323,38,Bachelor,Married
cp324,60,College,Divorced
cp325,46,College,Single
cp326,51,Bachelor,Married
cp327,46,Bachelor,Single
cp328,62,Bachelor,Married
cp329,53,High School or Below,Married
cp330,46,College,Single
cp331,55,Bachelor,Married
cp332,39,College,Married
cp333,52,Bachelor,Married
cp334,70,College,Single
cp335,34,Bachelor,Married
cp336,66,Bachelor,Married
cp337,55,College,Single
cp338,51,Doctor,Divorced
cp339,32,Bachelor,Married
cp340,63,Bachelor,Single
cp341,44,College,Single
cp342,42,College,Married
cp343,53,Bachelor,Single
cp344,61,Doctor,Divorced
cp345,63,Bachelor,Single
cp346,50,College,Single
cp347,65,Bachelor,Single
cp348,62,College,Married
cp349,37,Bachelor,Married
cp350,68,High School or Below,Married
cp351,57,College,Married
cp352,44,Bachelor,Divorced
cp353,54,College,Married
cp354,62,Bachelor,Married
cp355,35,Bachelor,Married
cp356,42,College,Married
cp357,60,Bachelor,Divorced
cp358,44,Bachelor,Married
cp359,44,Bachelor,Married
cp360,54,Bachelor,Married
cp361,26,Bachelor,Married
cp362,47,Bachelor,Married
cp363,61,Bachelor,Married
cp364,32,Bachelor,Married
cp365,52,College,Single
cp366,43,College,Single
cp367,26,High School or Below,Married
cp368,56,Bachelor,Married
cp369,69,Bachelor,Married
cp370,63,High School or Below,Married
cp371,47,College,Single
cp372,69,College,Single
cp373,58,Bachelor,Married
cp374,49,College,Divorced
cp375,39,Bachelor,Married
cp376,42,Bachelor,Married
cp377,54,Bachelor,Married
cp378,38,Bachelor,Married
cp379,57,Bachelor,Married
cp380,62,Bachelor,Married
cp381,70,Bachelor,Married
cp382,61,College,Single
cp383,65,College,Single
cp384,43,Bachelor,Married
cp385,50,Bachelor,Married
cp386,46,Bachelor,Married
cp387,53,Bachelor,Married
cp388,46,College,Single
cp389,33,Bachelor,Married
cp390,61,Bachelor,Divorced
cp391,38,Bachelor,Married
cp392,63,Bachelor,Married
cp393,48,Bachelor,Married
cp394,59,College,Single
cp395,62,Bachelor,Married
cp396,39,College,Married
cp397,53,College,Single
cp398,63,Bachelor,Married
cp399,60,Doctor,Married
cp400,37,College,Married
cp401,61,Master,Divorced
cp402,42,Bachelor,Single
cp403,40,Bachelor,Married
cp404,56,College,Married
cp405,64,Doctor,Married
cp406,49,Bachelor,Divorced
cp407,65,College,Single
cp408,52,College,Single
cp409,38,Master,Single
cp410,48,Bachelor,Married
cp411,49,Bachelor,Divorced
cp412,60,Bachelor,Married
cp413,55,Bachelor,Divorced
cp414,34,Doctor,Married
cp415,47,High School or Below,Married
cp416,52,Bachelor,Single
cp417,61,College,Single
cp418,55,Bachelor,Single
cp419,54,College,Single
cp420,34,Bachelor,Divorced
cp421,60,Bachelor,Married
cp422,46,College,Married
cp423,28,Bachelor,Single
cp424,46,High School or Below,Single
cp425,39,Bachelor,Married
cp426,29,Master,Single
cp427,62,College,Single
cp428,54,College,Single
cp429,27,High School or Below,Single
cp430,31,College,Single
cp431,60,College,Single
cp432,55,Bachelor,Married
cp433,52,Master,Single
cp434,56,College,Married
cp435,44,Doctor,Married
cp436,38,Bachelor,Married
cp437,38,College,Single
cp438,47,College,Single
cp439,25,Bachelor,Single
cp440,69,Doctor,Divorced
cp441,46,Bachelor,Divorced
cp442,33,Bachelor,Married
cp443,56,Bachelor,Married
cp444,67,Bachelor,Married
cp445,32,Bachelor,Divorced
cp446,36,Bachelor,Married
cp447,37,College,Single
cp448,47,Bachelor,Divorced
cp449,55,College,Single
cp450,55,Bachelor,Married
cp451,40,Bachelor,Married
cp452,31,Bachelor,Married
cp453,31,College,Single
cp454,69,College,Single
cp455,50,Bachelor,Married
cp456,64,Bachelor,Single
cp457,48,Bachelor,Single
cp458,36,Bachelor,Divorced
cp459,67,Bachelor,Married
cp460,43,Bachelor,Divorced
cp461,34,Bachelor,Married
cp462,69,Bachelor,Married
cp463,61,Bachelor,Single
cp464,44,College,Divorced
cp465,46,Bachelor,Single
cp466,53,Bachelor,Married
cp467,68,College,Single
cp468,58,Bachelor,Married
cp469,46,Bachelor,Divorced
cp470,42,Bachelor,Married
cp471,43,Bachelor,Married
cp472,37,Master,Divorced
cp473,58,College,Single
cp474,62,Bachelor,Married
cp475,50,High School or Below,Divorced
cp476,61,Bachelor,Married
cp477,28,College,Single
cp478,35,College,Single
cp479,51,Bachelor,Married
cp480,52,Bachelor,Married
cp481,31,College,Married
cp482,59,College,Single
cp483,50,Bachelor,Married
cp484,34,Bachelor,Married
cp485,57,High School or Below,Married
cp486,65,Bachelor,Divorced
cp487,37,Bachelor,Married
cp488,46,Bachelor,Married
cp489,38,Bachelor,Married
cp490,58,Bachelor,Married
cp491,54,Bachelor,Married
cp492,46,Bachelor,Married
cp493,34,Bachelor,Married
cp494,52,Bachelor,Married
cp495,56,Bachelor,Single
cp496,28,Bachelor,Married
cp497,34,Bachelor,Married
cp498,48,College,Married
cp499,63,College,Single
cp500,70,Bachelor,Married
cp501,43,Bachelor,Married
cp502,32,Bachelor,Married
cp503,68,Bachelor,Married
cp504,55,College,Married
cp505,34,Bachelor,Married
cp506,68,Bachelor,Single
cp507,55,College,Single
cp508,37,Bachelor,Divorced
cp509,65,College,Married
cp510,67,Bachelor,Married
cp511,47,College,Single
cp512,49,Bachelor,Single
cp513,46,Bachelor,Married
cp514,39,Bachelor,Single
cp515,49,Doctor,Married
cp516,54,Bachelor,Married
cp517,41,College,Single
cp518,58,Bachelor,Married
cp519,58,Bachelor,Married
cp520,45,Bachelor,Divorced
cp521,55,Doctor,Married
cp522,52,Bachelor,Single
cp523,29,College,Married
cp524,40,Bachelor,Single
cp525,56,College,Single
cp526,39,College,Single
cp527,45,College,Divorced
cp528,49,Bachelor,Married
cp529,59,Bachelor,Married
cp530,42,College,Single
cp531,52,Doctor,Divorced
cp532,27,Bachelor,Married
cp533,67,College,Single
cp534,38,Bachelor,Married
cp535,45,College,Married
cp536,35,Bachelor,Married
cp537,34,Bachelor,Married
cp538,43,Bachelor,Married
cp539,58,Bachelor,Married
cp540,39,College,Single
cp541,42,Doctor,Divorced
cp542,41,Bachelor,Married
cp543,61,College,Single
cp544,60,Bachelor,Divorced
cp545,53,Bachelor,Married
cp546,69,College,Married
cp547,54,Bachelor,Married
cp548,49,High School or Below,Divorced
cp549,50,College,Married
cp550,48,Bachelor,Single
cp551,61,Bachelor,Married
cp552,49,Bachelor,Married
cp553,42,College,Single
cp554,55,College,Divorced
cp555,51,High School or Below,Single
cp556,52,Bachelor,Married
cp557,68,Bachelor,Married
cp558,53,Bachelor,Married
cp559,56,Bachelor,Divorced
cp560,45,Bachelor,Married
cp561,31,Bachelor,Married
cp562,57,Bachelor,Married
cp563,52,Bachelor,Married
cp564,42,College,Single
cp565,31,Bachelor,Married
cp566,37,College,Married
cp567,51,College,Single
cp568,67,College,Single
cp569,45,Bachelor,Single
cp570,53,Bachelor,Married
cp571,46,College,Single
cp572,64,Bachelor,Married
cp573,66,College,Single
cp574,58,Bachelor,Married
cp575,52,Doctor,Married
cp576,56,Bachelor,Married
cp577,45,College,Divorced
cp578,52,Bachelor,Married
cp579,44,Bachelor,Married
cp580,41,High School or Below,Single
cp581,51,College,Married
cp582,57,Bachelor,Single
cp583,46,Doctor,Divorced
cp584,64,College,Single
cp585,56,Bachelor,Single
cp586,37,College,Married
cp587,38,College,Single
cp588,52,Bachelor,Divorced
cp589,51,Bachelor,Married
cp590,38,Master,Divorced
cp591,57,Bachelor,Married
cp592,52,Bachelor,Single
cp593,51,Bachelor,Married
cp594,34,College,Married
cp595,52,Bachelor,Married
cp596,58,College,Divorced
cp597,46,Bachelor,Divorced
cp598,55,Master,Married
cp599,31,Bachelor,Divorced
cp600,54,Doctor,Divorced
cp601,44,Doctor,Divorced
cp602,51,Bachelor,Single
cp603,53,Bachelor,Married
cp604,46,Bachelor,Divorced
cp605,56,Bachelor,Single
cp606,46,Bachelor,Married
cp607,68,Bachelor,Divorced
cp608,48,Bachelor,Married
cp609,47,College,Single
cp610,57,Bachelor,Married
cp611,52,Bachelor,Married
cp612,57,Bachelor,Married
cp613,27,Bachelor,Married
cp614,61,Bachelor,Married
cp615,43,Bachelor,Married
cp616,37,College,Single
cp617,65,College,Married
cp618,37,Bachelor,Single
cp619,40,Bachelor,Married
cp620,61,Bachelor,Married
cp621,70,Bachelor,Married
cp622,50,Bachelor,Divorced
cp623,42,College,Single
cp624,43,Bachelor,Married
cp625,60,College,Married
cp626,56,Bachelor,Married
cp627,67,Bachelor,Married
cp628,42,Master,Divorced
cp629,65,Bachelor,Married
cp630,53,Bachelor,Single
cp631,46,Bachelor,Married
cp632,28,Bachelor,Single
cp633,58,Master,Divorced
cp634,64,Bachelor,Married
cp635,45,Doctor,Divorced
cp636,64,Bachelor,Married
cp637,63,College,Single
cp638,38,Bachelor,Married
cp639,62,High School or Below,Married
cp640,30,Bachelor,Married
cp641,52,Bachelor,Divorced
cp642,55,High School or Below,Married
cp643,46,College,Married
cp644,39,Bachelor,Married
cp645,50,Bachelor,Single
cp646,38,College,Divorced
cp647,27,Bachelor,Divorced
cp648,69,Bachelor,Married
cp649,60,Bachelor,Divorced
cp650,41,Bachelor,Single
cp651,69,College,Married
cp652,41,Bachelor,Married
cp653,48,Bachelor,Married
cp654,62,Bachelor,Married
cp655,57,College,Single
cp656,26,Doctor,Divorced
cp657,35,College,Single
cp658,35,Master,Married
cp659,42,Bachelor,Married
cp660,55,Bachelor,Single
cp661,53,Bachelor,Married
cp662,34,College,Married
cp663,45,Bachelor,Single
cp664,52,Bachelor,Married
cp665,52,Bachelor,Married
cp666,67,Bachelor,Married
cp667,66,College,Married
cp668,58,Doctor,Married
cp669,55,Bachelor,Married
cp670,52,College,Married
cp671,44,College,Divorced
cp672,63,Doctor,Married
cp673,53,Bachelor,Married
cp674,61,Bachelor,Married
cp675,39,Bachelor,Married
cp676,45,Master,Divorced
cp677,52,Bachelor,Single
cp678,60,Bachelor,Single
cp679,63,Bachelor,Married
cp680,66,Bachelor,Divorced
cp681,48,Bachelor,Married
cp682,26,Bachelor,Single
cp683,55,College,Married
cp684,60,College,Married
cp685,65,Bachelor,Single
cp686,48,Bachelor,Married
cp687,43,Bachelor,Married
cp688,37,College,Single
cp689,47,Bachelor,Married
cp690,36,College,Married
cp691,64,Bachelor,Married
cp692,38,College,Single
cp693,48,College,Divorced
cp694,55,Master,Single
cp695,69,Bachelor,Married
cp696,65,High School or Below,Divorced
cp697,70,College,Married
cp698,34,College,Married
cp699,46,Bachelor,Married
cp700,46,Bachelor,Married
cp701,55,College,Married
cp702,69,College,Divorced
cp703,62,College,Single
cp704,60,Bachelor,Divorced
cp705,58,Bachelor,Divorced
cp706,57,Bachelor,Single
cp707,59,College,Single
cp708,60,Bachelor,Single
cp709,47,Bachelor,Married
cp710,32,Bachelor,Married
cp711,58,College,Single
cp712,52,College,Single
cp713,37,Doctor,Married
cp714,44,College,Single
cp715,53,Bachelor,Married
cp716,61,Master,Divorced
cp717,35,Bachelor,Divorced
cp718,40,Bachelor,Single
cp719,57,Bachelor,Married
cp720,53,Bachelor,Married
cp721,39,Master,Married
cp722,47,Bachelor,Married
cp723,58,Bachelor,Married
cp724,47,Doctor,Single
cp725,59,Master,Divorced
cp726,65,Bachelor,Married
cp727,49,Bachelor,Married
cp728,54,Bachelor,Single
cp729,64,Bachelor,Married
cp730,52,Bachelor,Divorced
cp731,52,College,Single
cp732,45,Bachelor,Married
cp733,60,College,Married
cp734,54,Bachelor,Married
cp735,60,Bachelor,Married
cp736,60,College,Single
cp737,66,Bachelor,Married
cp738,54,Bachelor,Married
cp739,52,Bachelor,Single
cp740,47,Bachelor,Divorced
cp741,60,Doctor,Married
cp742,64,College,Single
cp743,40,Bachelor,Married
cp744,54,College,Single
cp745,65,High School or Below,Married
cp746,68,Doctor,Divorced
cp747,48,College,Married
cp748,36,Bachelor,Married
cp749,65,Bachelor,Divorced
cp750,67,Bachelor,Married
cp751,45,Bachelor,Divorced
cp752,43,Bachelor,Married
cp753,65,Bachelor,Single
cp754,43,Bachelor,Divorced
cp755,60,Bachelor,Married
cp756,59,College,Single
cp757,42,Bachelor,Married
cp758,70,College,Divorced
cp759,50,College,Single
cp760,55,Bachelor,Divorced
cp761,45,High School or Below,Single
cp762,49,Bachelor,Married
cp763,29,Bachelor,Single
cp764,70,College,Single
cp765,41,Bachelor,Married
cp766,27,Bachelor,Married
cp767,52,College,Single
cp768,38,Bachelor,Married
cp769,43,Bachelor,Single
cp770,38,Bachelor,Divorced
cp771,46,Bachelor,Married
cp772,44,Bachelor,Married
cp773,54,Bachelor,Married
cp774,31,Bachelor,Married
cp775,26,College,Married
cp776,67,Bachelor,Married
cp777,54,Bachelor,Married
cp778,26,High School or Below,Married
cp779,44,Bachelor,Married
cp780,55,Bachelor,Married
cp781,60,Doctor,Married
cp782,35,Bachelor,Single
cp783,59,Bachelor,Divorced
cp784,55,Bachelor,Married
cp785,41,College,Single
cp786,42,Bachelor,Married
cp787,44,College,Married
cp788,66,Bachelor,Married
cp789,55,Bachelor,Single
cp790,64,Bachelor,Divorced
cp791,68,College,Single
cp792,55,Bachelor,Single
cp793,65,Bachelor,Divorced
cp794,65,Bachelor,Married
cp795,59,College,Single
cp796,63,College,Divorced
cp797,67,College,Single
cp798,58,Bachelor,Married
cp799,50,College,Single
cp800,56,Bachelor,Divorced
cp801,31,Bachelor,Married
cp802,54,Bachelor,Married
cp803,61,Bachelor,Single
cp804,42,Bachelor,Divorced
cp805,62,College,Single
cp806,59,Doctor,Divorced
cp807,42,Bachelor,Married
cp808,46,Bachelor,Married
cp809,48,Bachelor,Married
cp810,60,Bachelor,Married
cp811,41,High School or Below,Married
cp812,53,Bachelor,Single
cp813,32,Doctor,Married
cp814,60,College,Married
cp815,61,Bachelor,Married
cp816,48,Bachelor,Married
cp817,29,College,Single
cp818,53,College,Married
cp819,41,College,Single
cp820,62,Bachelor,Divorced
cp821,45,Bachelor,Married
cp822,31,College,Single
cp823,64,Bachelor,Married
cp824,40,Bachelor,Married
cp825,70,Bachelor,Married
cp826,57,Bachelor,Single
cp827,62,Bachelor,Married
cp828,67,Bachelor,Married
cp829,60,Bachelor,Married
cp830,29,Bachelor,Married
cp831,58,College,Married
cp832,64,High School or Below,Married
cp833,55,Bachelor,Married
cp834,62,College,Single
cp835,34,High School or Below,Divorced
cp836,36,Bachelor,Married
cp837,46,Bachelor,Divorced
cp838,46,Bachelor,Divorced
cp839,31,Bachelor,Married
cp840,46,Bachelor,Single
cp841,47,College,Single
cp842,41,College,Single
cp843,45,Bachelor,Married
cp844,57,Bachelor,Divorced
cp845,62,Bachelor,Married
cp846,38,Bachelor,Married
cp847,52,Bachelor,Married
cp848,65,College,Single
cp849,65,Bachelor,Married
cp850,28,Master,Divorced
cp851,55,College,Married
cp852,63,Bachelor,Married
cp853,60,Bachelor,Married
cp854,60,High School or Below,Divorced
cp855,54,College,Single
cp856,30,High School or Below,Married
cp857,48,Bachelor,Married
cp858,44,Bachelor,Married
cp859,46,Bachelor,Single
cp860,38,Bachelor,Single
cp861,37,Bachelor,Married
cp862,35,Bachelor,Married
cp863,50,Doctor,Married
cp864,46,College,Single
cp865,69,College,Divorced
cp866,62,College,Single
cp867,26,Bachelor,Married
cp868,62,College,Married
cp869,47,Bachelor,Married
cp870,57,College,Single
cp871,45,Bachelor,Married
cp872,39,Bachelor,Married
cp873,57,Bachelor,Married
cp874,58,Doctor,Divorced
cp875,41,Doctor,Divorced
cp876,35,Bachelor,Married
cp877,33,Bachelor,Married
cp878,49,Bachelor,Married
cp879,42,Bachelor,Single
cp880,60,Bachelor,Married
cp881,63,College,Single
cp882,28,Bachelor,Married
cp883,25,Bachelor,Married
cp884,50,Bachelor,Married
cp885,31,Bachelor,Married
cp886,51,Bachelor,Married
cp887,57,High School or Below,Divorced
cp888,50,Bachelor,Married
cp889,51,Bachelor,Divorced
cp890,43,College,Single
cp891,46,Bachelor,Married
cp892,44,Bachelor,Married
cp893,53,Bachelor,Married
cp894,45,College,Married
cp895,51,Bachelor,Married
cp896,41,Bachelor,Divorced
cp897,65,Bachelor,Married
cp898,54,Bachelor,Married
cp899,60,Bachelor,Married
cp900,32,College,Divorced
cp901,37,College,Married
cp902,40,Bachelor,Married
cp903,40,College,Single
cp904,44,Master,Married
cp905,51,Bachelor,Single
cp906,58,College,Single
cp907,50,High School or Below,Single
cp908,55,Bachelor,Single
cp909,34,College,Married
cp910,57,Doctor,Single
cp911,29,High School or Below,Single
cp912,51,Bachelor,Divorced
cp913,47,College,Single
cp914,53,Bachelor,Divorced
cp915,50,Bachelor,Single
cp916,54,College,Married
cp917,45,College,Married
cp918,54,College,Divorced
cp919,32,College,Single
cp920,53,Bachelor,Married
cp921,61,Bachelor,Married
cp922,49,College,Married
cp923,35,Bachelor,Married
cp924,33,Bachelor,Married
cp925,62,Bachelor,Married
cp926,61,High School or Below,Married
cp927,57,Bachelor,Married
cp928,46,College,Married
cp929,63,College,Single
cp930,45,College,Single
cp931,59,Bachelor,Divorced
cp932,41,Bachelor,Divorced
cp933,57,Bachelor,Married
cp934,60,Bachelor,Married
cp935,53,College,Single
cp936,26,College,Married
cp937,41,Bachelor,Married
cp938,54,Bachelor,Married
cp939,54,Bachelor,Married
cp940,29,College,Single
cp941,43,College,Married
cp942,60,College,Single
cp943,60,Bachelor,Single
cp944,68,Bachelor,Married
cp945,56,Bachelor,Single
cp946,41,Bachelor,Divorced
cp947,67,Bachelor,Single
cp948,46,Bachelor,Married
cp949,62,Bachelor,Married
cp950,42,Bachelor,Married
cp951,45,College,Married
cp952,33,Doctor,Married
cp953,44,Bachelor,Married
cp954,40,College,Single
cp955,55,Bachelor,Married
cp956,52,Bachelor,Married
cp957,57,Doctor,Married
cp958,49,Bachelor,Single
cp959,47,College,Single
cp960,50,Bachelor,Single
cp961,53,High School or Below,Single
cp962,33,Bachelor,Married
cp963,44,Bachelor,Married
cp964,43,College,Married
cp965,41,Bachelor,Married
cp966,43,Bachelor,Married
cp967,33,College,Divorced
cp968,41,Bachelor,Single
cp969,49,Bachelor,Married
cp970,57,Bachelor,Married
cp971,29,Bachelor,Married
cp972,55,Bachelor,Married
cp973,46,College,Single
cp974,63,Master,Married
cp975,54,Bachelor,Married
cp976,63,Bachelor,Married
cp977,55,Bachelor,Married
cp978,33,College,Single
cp979,62,Bachelor,Married
cp980,26,Bachelor,Single
cp981,69,Bachelor,Married
cp982,48,College,Single
cp983,37,Bachelor,Married
cp984,45,Bachelor,Divorced
cp985,51,College,Single
cp986,28,Bachelor,Single
