geo_loc_id,latitude,longitude,postal_code
gl62,34.147785,-118.144516,91121
gl63,46.813878,-71.207981,G1B 3L5
gl64,32.715738,-117.161084,92132
gl65,51.507351,-0.127758,SW1A 1NJ
gl66,44.101126,-77.576313,K8V 4B2
gl67,50.837645,-0.122104,BN2 4DA
gl68,49.240157,6.996933,66115
gl69,45.501689,-73.567256,H2T 9K8
gl70,51.474026,-0.987402,RG4 7BD
gl71,37.774929,-122.419416,94155
gl72,53.551085,9.993682,20539
gl73,49.328625,-123.160198,V6V 8Z3
gl74,49.487459,8.466039,68165
gl75,25.76168,-80.19179,33170
gl76,52.520007,13.404954,12527
gl77,49.282729,-123.120738,V6E 3Z3
gl78,53.079296,8.801694,28759
gl79,50.11632,-122.957356,V6T 1Y8
gl80,51.513587,7.465298,44413
gl81,52.486243,-1.890401,B4 7SL
gl82,53.551085,9.993682,22609
gl83,45.42153,-75.697193,K1G 4Z0
gl84,51.4073,8.0528,59756
gl85,49.282729,-123.120738,V6E 3Z3
gl86,51.436477,-0.914127,RG6 7JR
gl87,34.052234,-118.243685,90203
gl88,39.158168,-75.524368,19935
gl89,37.804364,-122.271114,94611
gl90,51.338761,6.585342,47807
gl91,53.551085,9.993682,20539
gl92,25.76168,-80.19179,33024
gl93,34.052234,-118.243685,90211
gl94,53.544389,-113.490927,T9G 1W3
gl95,53.551085,9.993682,22335
gl96,34.052234,-118.243685,90101
gl97,51.4073,8.0528,59756
gl98,33.448377,-112.074037,85052
gl99,34.052234,-118.243685,90034
gl100,48.544192,12.146853,84028
gl101,41.765804,-72.673372,6134
gl102,43.653226,-79.383184,M2M 7K8
gl103,28.538335,-81.379236,32812
gl104,53.544389,-113.490927,T9G 1W3
gl105,55.759627,-120.237662,U5I 4F1
gl106,39.158168,-75.524368,19935
gl107,30.695366,-88.039891,36695
gl108,30.695366,-88.039891,36695
gl109,52.486243,-1.890401,35215
gl110,37.774929,-122.419416,94155
gl111,50.913425,-1.29459,SO30 2EB
gl112,50.110922,8.682127,60320
gl113,51.436477,-0.914127,RG6 7JR
gl114,51.507351,-0.127758,NW1 1LJ
gl115,58.301944,-134.419722,99821
gl116,52.486243,-1.890401,35215
gl117,51.227741,6.773456,40595
gl118,50.73743,7.098207,53225
gl119,51.895266,-0.42787,LU3 1EP
gl120,53.079296,8.801694,28759
gl121,51.513587,7.465298,44413
gl122,61.2181,-149.9003,99534
gl123,44.231172,-76.485954,M9K 2P4
gl124,51.507351,-0.127758,E15 3JR
gl125,51.507351,-0.127758,E13 8DB
gl126,48.544192,12.146853,84028
gl127,43.653226,-79.383184,P1W 1K4
gl128,51.474026,-0.987402,RG4 7BD
gl129,51.050409,13.737262,1219
gl130,53.544389,-113.490927,T9G 1W3
gl131,49.98875,8.421698,65428
gl132,50.913425,-1.29459,SO30 2NU
gl133,43.653226,-79.383184,P1J 8T7
gl134,34.052234,-118.243685,90101
gl135,49.240157,6.996933,66115
gl136,50.837645,-0.122104,BN2 4DA
gl137,50.110922,8.682127,60433
gl138,45.428731,-75.713366,J8Y 3Z5
gl139,51.480498,-0.969575,RG4 8RF
gl140,37.774929,-122.419416,94155
gl141,40.014986,-105.270546,80339
gl142,51.507351,-0.127758,E7 8EZ
gl143,51.507351,-0.127758,N11 1BD
gl144,48.135125,11.58198,80331
gl145,51.474026,-0.987402,RG4 7BD
gl146,50.816015,-0.065917,BN2 7FG
gl147,50.110922,8.682127,60320
gl148,51.507351,-0.127758,E15 3JR
gl149,45.501689,-73.567256,H2Y 2W2
gl150,53.079296,8.801694,28237
gl151,51.507351,-0.127758,SW1A 1NJ
gl152,25.76168,-80.19179,33021
gl153,36.082156,-94.171854,72717
gl154,51.050409,13.737262,1219
gl155,52.520007,13.404954,12051
gl156,51.227741,6.773456,40595
gl157,52.486243,-1.890401,B20 3BA
gl158,51.507351,-0.127758,SE4 2NU
gl159,34.052234,-118.243685,90101
gl160,49.282729,-123.120738,V6E 3Z3
gl161,39.158168,-75.524368,19935
gl162,48.135125,11.58198,80331
gl163,49.992862,8.247253,55131
gl164,51.507351,-0.127758,SE6 4NR
gl165,37.354108,-121.955236,95067
gl166,50.110922,8.682127,60528
gl167,53.544389,-113.490927,T3G 6Y6
gl168,49.887952,-119.496011,V09 2E9
gl169,53.079296,8.801694,28759
gl170,51.507351,-0.127758,NW9 8AA
gl171,48.135125,11.58198,80331
gl172,55.759627,-120.237662,U5I 4F1
gl173,49.282729,-123.120738,V1E 4R6
gl174,51.507351,-0.127758,E7 8EZ
gl175,37.774929,-122.419416,94155
gl176,50.913425,-1.29459,SO30 2EB
gl177,53.079296,8.801694,28219
gl178,38.907192,-77.036871,20057
gl179,45.42153,-75.697193,K1F 2R2
gl180,46.813878,-71.207981,G1B 3L5
gl181,51.895266,-0.42787,LU3 1EP
gl182,53.551085,9.993682,20539
gl183,61.2181,-149.9003,99534
gl184,51.507351,-0.127758,E15 3JR
gl185,46.087817,-64.778231,E1A 2A7
gl186,51.417083,-1.150411,RG7 5NF
gl187,50.110922,8.682127,60386
gl188,43.653226,-79.383184,P1L 8X8
gl189,33.448377,-112.074037,85055
gl190,53.079296,8.801694,28219
gl191,53.079296,8.801694,28759
gl192,50.913425,-1.29459,SO30 2EB
gl193,51.050409,13.737262,1219
gl194,48.544192,12.146853,84028
gl195,36.082156,-94.171854,72717
gl196,50.844931,-0.158915,BN1 5BD
gl197,51.480498,-0.969575,RG4 8RF
gl198,46.087817,-64.778231,E1A 2A7
gl199,50.110922,8.682127,60528
gl200,49.282729,-123.120738,V5R 1W3
gl201,36.082156,-94.171854,72717
gl202,50.110922,8.682127,60528
gl203,39.739236,-104.990251,80279
gl204,34.052234,-118.243685,90211
gl205,45.42153,-75.697193,K1G 4Z0
gl206,45.501689,-73.567256,H2Y 2W2
gl207,33.448377,-112.074037,85052
gl208,50.73743,7.098207,53225
gl209,51.752021,-1.257726,OX4 4YW
gl210,43.653226,-79.383184,P2T 6G3
gl211,43.653226,-79.383184,M2Z 4K1
gl212,50.110922,8.682127,65936
gl213,34.052234,-118.243685,90211
gl214,49.895136,-97.138374,R6Y 4T5
gl215,50.834406,-0.124847,BN2 3AL
gl216,53.544389,-113.490927,T3G 6Y6
gl217,33.448377,-112.074037,85055
gl218,51.472253,-0.957451,RG4 5JP
gl219,28.538335,-81.379236,32812
gl220,48.544192,12.146853,84028
gl221,53.551085,9.993682,20539
gl222,50.11632,-122.957356,V6T 1Y8
gl223,51.752021,-1.257726,OX4 1LJ
gl224,49.282729,-123.120738,V1E 4R6
gl225,34.052234,-118.243685,90101
gl226,39.739072,-75.539788,19821
gl227,56.234182,-117.289384,T9O 2W2
gl228,53.079296,8.801694,28759
gl229,52.486243,-1.890401,B2 4LS
gl230,52.486243,-1.890401,35215
gl231,52.375892,9.73201,30629
gl232,51.513587,7.465298,44413
gl233,51.752021,-1.257726,OX4 4QL
gl234,39.739236,-104.990251,80279
gl235,50.73743,7.098207,53121
gl236,30.695366,-88.039891,36695
gl237,55.759627,-120.237662,U5I 4F1
gl238,46.522099,-80.953035,M5V 1G5
gl239,48.135125,11.58198,80800
gl240,39.739236,-104.990251,80286
gl241,51.4073,8.0528,59756
gl242,50.816015,-0.065917,BN2 7FG
gl243,37.774929,-122.419416,94133
gl244,49.282729,-123.120738,V6E 3Z3
gl245,52.375892,9.73201,30629
gl246,45.501689,-73.567256,H2T 9K8
gl247,50.913425,-1.29459,SO30 2NU
gl248,49.240157,6.996933,66115
gl249,51.472253,-0.957451,RG4 5JP
gl250,49.282729,-123.120738,V1E 4R6
gl251,33.749,-84.388,30364
gl252,51.507351,-0.127758,NW1 1LJ
gl253,52.486243,-1.890401,B20 3BA
gl254,40.014986,-105.270546,80341
gl255,51.507351,-0.127758,NW9 8AA
gl256,51.227741,6.773456,40595
gl257,50.11632,-122.957356,V6T 1Y8
gl258,37.774929,-122.419416,94133
gl259,49.887952,-119.496011,V09 2E9
gl260,33.749,-84.388,30364
gl261,50.110922,8.682127,60320
gl262,53.544389,-113.490927,T9G 1W3
gl263,50.110922,8.682127,60386
gl264,51.16522,7.067116,42697
gl265,39.739236,-104.990251,80286
gl266,37.804364,-122.271114,94611
gl267,39.739236,-104.990251,80289
gl268,50.73743,7.098207,53121
gl269,53.551085,9.993682,22609
gl270,37.354108,-121.955236,95067
gl271,44.648764,-63.575239,B3J 9S2
gl272,50.110922,8.682127,60320
gl273,25.76168,-80.19179,33024
gl274,52.520007,13.404954,12527
gl275,51.507351,-0.127758,SW1A 1NJ
gl276,43.653226,-79.383184,M2P 4F6
gl277,51.507351,-0.127758,E17 3DP
gl278,51.474026,-0.987402,RG4 7BD
gl279,52.486243,-1.890401,B4 7SL
gl280,49.282729,-123.120738,V6E 3D9
gl281,39.739236,-104.990251,80289
gl282,32.715738,-117.161084,92129
gl283,51.480498,-0.969575,RG4 8RF
gl284,37.774929,-122.419416,94133
gl285,39.739236,-104.990251,80286
gl286,58.301944,-134.419722,99821
gl287,34.052234,-118.243685,90203
gl288,51.507351,-0.127758,SE6 4NR
gl289,37.869902,-122.270013,94712
gl290,45.501689,-73.567256,H3T 8L4
gl291,40.014986,-105.270546,80339
gl292,51.507351,-0.127758,E15 3JR
gl293,48.135125,11.58198,80331
gl294,50.110922,8.682127,60433
gl295,51.507351,-0.127758,NW1 1LJ
gl296,52.520007,13.404954,12051
gl297,48.135125,11.58198,80331
gl298,53.079296,8.801694,28759
gl299,51.507351,-0.127758,E14 7L8
gl300,52.272582,-0.74971,RG5 3HA
gl301,34.052234,-118.243685,90034
gl302,53.079296,8.801694,28759
gl303,52.678419,-2.445258,TZ3 4BW
gl304,51.752021,-1.257726,OX4 4YW
gl305,61.2181,-149.9003,99534
gl306,51.472253,-0.957451,RG4 5JP
gl307,25.76168,-80.19179,33170
gl308,39.739236,-104.990251,80287
gl309,48.544192,12.146853,84028
gl310,45.501689,-73.567256,H2T 2J6
gl311,43.653226,-79.383184,P1W 1K4
gl312,52.486243,-1.890401,B2 4LS
gl313,51.507351,-0.127758,N1 6DG
gl314,30.695366,-88.039891,36695
gl315,50.445211,-104.618894,S1J 3C5
gl316,50.816015,-0.065917,BN2 7FG
gl317,52.486243,-1.890401,B29 5DW
gl318,46.813878,-71.207981,G1B 3L5
gl319,49.240157,6.996933,66115
gl320,51.895266,-0.42787,LU3 1EP
gl321,52.062193,-0.811732,MK17 9EA
gl322,39.739236,-104.990251,80279
gl323,50.913425,-1.29459,SO30 0PZ
gl324,55.759627,-120.237662,U5I 4F1
gl325,50.110922,8.682127,60528
gl326,53.544389,-113.490927,T9G 1W3
gl327,49.282729,-123.120738,V5R 1W3
gl328,50.834406,-0.124847,BN2 3AL
gl329,50.816015,-0.065917,BN2 7FG
gl330,40.014986,-105.270546,80341
gl331,44.101126,-77.576313,K8V 4B2
gl332,52.375892,9.73201,30629
gl333,51.16522,7.067116,42697
gl334,51.436477,-0.914127,RG6 7JR
gl335,25.76168,-80.19179,33166
gl336,52.062193,-0.811732,MK17 9EA
gl337,50.913425,-1.29459,SO30 2NU
gl338,51.048615,-114.070846,T3E 2V9
gl339,49.992862,8.247253,55131
gl340,53.079296,8.801694,28759
gl341,34.052234,-118.243685,90211
gl342,50.73743,7.098207,53121
gl343,51.474026,-0.987402,RG4 7BD
gl344,45.501689,-73.567256,H2Y 2W2
gl345,37.869902,-122.270013,94712
gl346,52.486243,-1.890401,B29 5DW
gl347,39.739236,-104.990251,80279
gl348,58.301944,-134.419722,99821
gl349,32.715738,-117.161084,92132
gl350,52.486243,-1.890401,B2 4LS
gl351,47.56151,-52.712577,A1C 6H9
gl352,34.746481,-92.289595,72287
gl353,48.135125,11.58198,80331
gl354,50.110922,8.682127,60386
gl355,52.272582,-0.74971,RG5 3HA
gl356,34.052234,-118.243685,90045
gl357,25.76168,-80.19179,33169
gl358,52.486243,-1.890401,B4 7SL
gl359,39.739236,-104.990251,80279
gl360,51.417083,-1.150411,RG7 5NF
gl361,49.282729,-123.120738,V6E 3D9
gl362,25.76168,-80.19179,33168
gl363,51.752021,-1.257726,OX4 1LJ
gl364,44.648764,-63.575239,B3C 2M8
gl365,51.050409,13.737262,1219
gl366,51.480498,-0.969575,RG4 8RF
gl367,50.913425,-1.29459,SO30 2NU
gl368,39.739072,-75.539788,19821
gl369,48.135125,11.58198,80331
gl370,50.110922,8.682127,60528
gl371,51.227741,6.773456,40595
gl372,51.895266,-0.42787,LU3 1EP
gl373,49.282729,-123.120738,V1E 4R6
gl374,48.135125,11.58198,80331
gl375,53.079296,8.801694,28219
gl376,51.472253,-0.957451,RG4 5JP
gl377,45.501689,-73.567256,H2T 2J6
gl378,48.135125,11.58198,80800
gl379,45.501689,-73.567256,H2Y 2W2
gl380,50.937531,6.960279,51149
gl381,50.110922,8.682127,60386
gl382,48.796045,9.009571,71299
gl383,52.486243,-1.890401,35215
gl384,46.813878,-71.207981,G1B 3L5
gl385,30.695366,-88.039891,36695
gl386,50.110922,8.682127,60528
gl387,52.486243,-1.890401,B2 4LS
gl388,44.648764,-63.575239,B3J 9S2
gl389,34.052234,-118.243685,90211
gl390,45.963589,-66.643115,E3B 2H2
gl391,51.507351,-0.127758,N11 1BD
gl392,34.052234,-118.243685,90101
gl393,61.2181,-149.9003,99534
gl394,33.749,-84.388,30352
gl395,34.052234,-118.243685,90101
gl396,48.135125,11.58198,80331
gl397,51.507351,-0.127758,NW9 8AA
gl398,53.551085,9.993682,21037
gl399,39.739236,-104.990251,80287
gl400,52.520007,13.404954,10711
gl401,34.052234,-118.243685,90203
gl402,51.507351,-0.127758,NW9 8AA
gl403,52.486243,-1.890401,B20 3BA
gl404,49.282729,-123.120738,V6E 3Z3
gl405,52.272582,-0.74971,RG5 3HA
gl406,52.486243,-1.890401,B4 7SL
gl407,51.507351,-0.127758,SE6 4NR
gl408,39.739072,-75.539788,19821
gl409,50.984768,11.02988,99089
gl410,46.087817,-64.778231,E1A 2A7
gl411,39.739236,-104.990251,80286
gl412,53.551085,9.993682,22609
gl413,33.749,-84.388,30352
gl414,51.507351,-0.127758,E13 8DB
gl415,30.695366,-88.039891,36695
gl416,52.062193,-0.811732,MK17 9EA
gl417,43.653226,-79.383184,M8Y 4K8
gl418,49.282729,-123.120738,V1E 4R6
gl419,50.937531,6.960279,51149
gl420,34.052234,-118.243685,90203
gl421,53.079296,8.801694,28759
gl422,36.082156,-94.171854,72717
gl423,53.544389,-113.490927,T3G 6Y6
gl424,49.895136,-97.138374,R2C 0M5
gl425,53.551085,9.993682,22335
gl426,39.739236,-104.990251,80287
gl427,48.380895,-89.247682,K8T 5M5
gl428,34.052234,-118.243685,90101
gl429,30.695366,-88.039891,36695
gl430,48.544192,12.146853,84028
gl431,45.501689,-73.567256,H3T 8L4
gl432,45.963589,-66.643115,E3B 2H2
gl433,45.501689,-73.567256,H2Y 4R4
gl434,49.895136,-97.138374,R6Y 4T5
gl435,37.774929,-122.419416,94127
gl436,53.551085,9.993682,22609
gl437,37.774929,-122.419416,94129
gl438,34.052234,-118.243685,90101
gl439,32.715738,-117.161084,92120
gl440,51.507351,-0.127758,E13 8DB
gl441,40.014986,-105.270546,80332
gl442,41.117744,-73.408158,6874
gl443,46.23824,-63.13107,C1A 6E8
gl444,37.774929,-122.419416,94129
gl445,51.507351,-0.127758,E15 3JR
gl446,39.739236,-104.990251,80287
gl447,39.739236,-104.990251,80279
gl448,53.551085,9.993682,22335
gl449,50.445211,-104.618894,S1J 3C5
gl450,51.507351,-0.127758,SW1A 1NJ
gl451,51.507351,-0.127758,E10 5AQ
gl452,49.282729,-123.120738,V1E 4R6
gl453,53.079296,8.801694,28759
gl454,49.487459,8.466039,68165
gl455,50.110922,8.682127,65989
gl456,34.052234,-118.243685,90101
gl457,50.913425,-1.29459,SO30 2NU
gl458,45.501689,-73.567256,H2Y 4R4
gl459,37.774929,-122.419416,94133
gl460,52.120533,11.627624,39116
gl461,52.486243,-1.890401,B29 5DW
gl462,55.759627,-120.237662,U5I 4F1
gl463,25.76168,-80.19179,33166
gl464,51.507351,-0.127758,E15 3JR
gl465,52.520007,13.404954,12527
gl466,45.501689,-73.567256,H2T 9K8
gl467,32.715738,-117.161084,92129
gl468,48.544192,12.146853,84028
gl469,33.448377,-112.074037,85052
gl470,51.338761,6.585342,47807
gl471,50.844931,-0.158915,BN1 5BD
gl472,39.158168,-75.524368,19935
gl473,48.135125,11.58198,80800
gl474,49.282729,-123.120738,V6E 3D9
gl475,53.551085,9.993682,20539
gl476,48.428421,-123.365644,V10 6T5
gl477,25.76168,-80.19179,33168
gl478,51.507351,-0.127758,SE6 4NR
gl479,48.135125,11.58198,80331
gl480,50.913425,-1.29459,SO30 2EB
gl481,40.014986,-105.270546,80341
gl482,49.895136,-97.138374,R6Y 4T5
gl483,33.749,-84.388,30364
gl484,50.984768,11.02988,99089
gl485,37.869902,-122.270013,94712
gl486,50.110922,8.682127,65936
gl487,50.73743,7.098207,53121
gl488,51.507351,-0.127758,SW1A 1NJ
gl489,50.73743,7.098207,53121
gl490,34.052234,-118.243685,90060
gl491,49.240157,6.996933,66115
gl492,50.445211,-104.618894,S1J 3C5
gl493,52.520007,13.404954,12051
gl494,50.834406,-0.124847,BN2 3AL
gl495,34.052234,-118.243685,90101
gl496,33.8366,-117.9143,92815
gl497,52.486243,-1.890401,B2 4LS
gl498,45.963589,-66.643115,E3B 2H2
gl499,49.887952,-119.496011,V09 2E9
gl500,33.749,-84.388,30364
gl501,50.110922,8.682127,60386
gl502,40.014986,-105.270546,80339
gl503,47.56151,-52.712577,A1C 6H9
gl504,45.501689,-73.567256,H3T 8L4
gl505,25.76168,-80.19179,33176
gl506,44.101126,-77.576313,K8V 4B2
gl507,40.014986,-105.270546,80339
gl508,50.110922,8.682127,60320
gl509,45.42153,-75.697193,K1G 4Z0
gl510,50.110922,8.682127,60386
gl511,46.087817,-64.778231,E1A 2A7
gl512,33.749,-84.388,30352
gl513,38.907192,-77.036871,20057
gl514,51.507351,-0.127758,NW9 8AA
gl515,50.913425,-1.29459,SO30 2NU
gl516,45.963589,-66.643115,E3B 2H2
gl517,43.653226,-79.383184,P1J 8T7
gl518,52.520007,13.404954,12527
gl519,50.984768,11.02988,99089
gl520,39.739072,-75.539788,19821
gl521,38.907192,-77.036871,20057
gl522,48.135125,11.58198,80760
gl523,45.42153,-75.697193,K1F 2R2
gl524,61.2181,-149.9003,99534
gl525,51.16522,7.067116,42697
gl526,39.739236,-104.990251,80289
gl527,52.520007,13.404954,12527
gl528,37.774929,-122.419416,94129
gl529,50.913425,-1.29459,SO30 2EB
gl530,52.520007,13.404954,10711
gl531,52.375892,9.73201,30627
gl532,51.227741,6.773456,40213
gl533,45.501689,-73.567256,H4G 3T4
gl534,32.715738,-117.161084,92132
gl535,52.520007,13.404954,12051
gl536,45.501689,-73.567256,H3T 8L4
gl537,48.135125,11.58198,80331
gl538,32.715738,-117.161084,92132
gl539,47.56151,-52.712577,A1C 6H9
gl540,52.486243,-1.890401,35215
gl541,33.448377,-112.074037,85055
gl542,37.354108,-121.955236,95067
gl543,40.014986,-105.270546,80341
gl544,50.913425,-1.29459,SO30 2EB
gl545,49.282729,-123.120738,V6E 3Z3
gl546,51.752021,-1.257726,MK17 9EA
gl547,25.76168,-80.19179,33168
gl548,39.158168,-75.524368,19935
gl549,45.501689,-73.567256,H2Y 4R4
gl550,51.507351,-0.127758,SE4 2NU
gl551,52.272582,-0.74971,RG5 3HA
gl552,34.147785,-118.144516,91121
gl553,52.486243,-1.890401,B4 7SL
gl554,34.052234,-118.243685,90101
gl555,39.158168,-75.524368,19935
gl556,43.653226,-79.383184,P5S 6R4
gl557,48.544192,12.146853,84028
gl558,43.653226,-79.383184,M2Z 4K1
gl559,46.813878,-71.207981,G1B 3L5
gl560,51.227741,6.773456,40213
gl561,44.231172,-76.485954,M9K 2P4
gl562,43.653226,-79.383184,P1J 8T7
gl563,53.079296,8.801694,28759
gl564,32.715738,-117.161084,92129
gl565,51.507351,-0.127758,E17 3DP
gl566,43.653226,-79.383184,P1L 8X8
gl567,53.551085,9.993682,22335
gl568,45.42153,-75.697193,K1G 4Z0
gl569,34.147785,-118.144516,91121
gl570,52.937318,-1.141232,NG7 1AR
gl571,50.110922,8.682127,60386
gl572,49.328625,-123.160198,V6V 8Z3
gl573,51.507351,-0.127758,E10 5AQ
gl574,50.816015,-0.065917,BN2 7FG
gl575,51.1784,-115.5708,T4V 1D4
gl576,49.895136,-97.138374,R6Y 4T5
gl577,34.147785,-118.144516,91121
gl578,50.110922,8.682127,65989
gl579,53.079296,8.801694,28759
gl580,51.507351,-0.127758,E15 3JR
gl581,53.551085,9.993682,20539
gl582,25.76168,-80.19179,33166
gl583,51.507351,-0.127758,NW1 1LJ
gl584,39.739236,-104.990251,80279
gl585,43.653226,-79.383184,M2M 7K8
gl586,53.551085,9.993682,22609
gl587,37.774929,-122.419416,94135
gl588,52.678419,-2.445258,TZ3 4BW
gl589,51.507351,-0.127758,NW1 1LJ
gl590,51.895266,-0.42787,LU3 1EP
gl591,53.079296,8.801694,28759
gl592,55.759627,-120.237662,U5I 4F1
gl593,51.752021,-1.257726,OX4 4YW
gl594,51.507351,-0.127758,SW1A 1NJ
gl595,38.907192,-77.036871,20057
gl596,34.052234,-118.243685,90101
gl597,49.895136,-97.138374,R6Y 4T5
gl598,52.272582,-0.74971,RG5 3HA
gl599,53.544389,-113.490927,T9G 1W3
gl600,49.282729,-123.120738,V6E 3Z3
gl601,51.1784,-115.5708,T4V 1D4
gl602,37.869902,-122.270013,94712
gl603,49.895136,-97.138374,R2C 0M5
gl604,49.452102,11.076665,90451
gl605,39.739236,-104.990251,80286
gl606,50.834406,-0.124847,BN2 3AL
gl607,48.135125,11.58198,80995
gl608,49.282729,-123.120738,V6E 3D9
gl609,39.739236,-104.990251,80287
gl610,43.653226,-79.383184,M2M 7K8
gl611,40.014986,-105.270546,80332
gl612,52.486243,-1.890401,B20 3BA
gl613,51.507351,-0.127758,SE4 2NU
gl614,51.507351,-0.127758,SW1A 1NJ
gl615,50.844931,-0.158915,BN1 5BD
gl616,51.507351,-0.127758,E15 3JR
gl617,45.963589,-66.643115,E3B 2H2
gl618,51.895266,-0.42787,LU3 1EP
gl619,34.052234,-118.243685,90211
gl620,45.501689,-73.567256,H2Y 4R4
gl621,52.520007,13.404954,12051
gl622,40.014986,-105.270546,80341
gl623,30.695366,-88.039891,36695
gl624,51.752021,-1.257726,OX4 4YW
gl625,49.240157,6.996933,66115
gl626,50.913425,-1.29459,SO30 2EB
gl627,52.520007,13.404954,12527
gl628,41.765804,-72.673372,6134
gl629,51.513587,7.465298,44413
gl630,51.507351,-0.127758,E15 3JR
gl631,58.301944,-134.419722,99821
gl632,34.052234,-118.243685,90211
gl633,52.520007,13.404954,12051
gl634,45.501689,-73.567256,H4G 3T4
gl635,40.014986,-105.270546,80332
gl636,53.079296,8.801694,28759
gl637,45.501689,-73.567256,H3T 8L4
gl638,32.715738,-117.161084,92129
gl639,49.895136,-97.138374,R2C 0M5
gl640,51.227741,6.773456,40595
gl641,25.76168,-80.19179,33176
gl642,37.774929,-122.419416,94155
gl643,34.147785,-118.144516,91121
gl644,40.014986,-105.270546,80341
gl645,48.544192,12.146853,84028
gl646,52.486243,-1.890401,B4 7SL
gl647,48.135125,11.58198,80995
gl648,52.486243,-1.890401,B2 4LS
gl649,41.117744,-73.408158,6874
gl650,37.804364,-122.271114,94611
gl651,43.653226,-79.383184,P1W 1K4
gl652,53.551085,9.993682,22335
gl653,50.844931,-0.158915,BN1 5BD
gl654,52.486243,-1.890401,B5 5RA
gl655,43.653226,-79.383184,P5S 6R4
gl656,52.520007,13.404954,12051
gl657,49.895136,-97.138374,R2C 0M5
gl658,51.507351,-0.127758,SE6 4NR
gl659,50.834406,-0.124847,BN2 3AL
gl660,39.739236,-104.990251,80286
gl661,51.507351,-0.127758,N1 6DG
gl662,50.110922,8.682127,60528
gl663,50.816015,-0.065917,BN2 7FG
gl664,43.653226,-79.383184,M2P 4F6
gl665,46.522099,-80.953035,M5V 1G5
gl666,52.120533,11.627624,39116
gl667,53.544389,-113.490927,T9G 1W3
gl668,43.653226,-79.383184,M2M 7K8
gl669,51.507351,-0.127758,E15 3JR
gl670,37.774929,-122.419416,94129
gl671,51.752021,-1.257726,OX4 1LJ
gl672,50.110922,8.682127,60320
gl673,45.42153,-75.697193,K1G 4Z0
gl674,50.913425,-1.29459,SO30 2EB
gl675,51.050409,13.737262,1219
gl676,43.653226,-79.383184,P1L 8X8
gl677,51.507351,-0.127758,E10 5AQ
gl678,40.014986,-105.270546,80341
gl679,51.507351,-0.127758,SW1A 1NJ
gl680,43.653226,-79.383184,M1R 4K3
gl681,49.895136,-97.138374,R2C 0M5
gl682,28.538335,-81.379236,32812
gl683,51.507351,-0.127758,E7 8EZ
gl684,51.436477,-0.914127,RG6 7JR
gl685,40.014986,-105.270546,80332
gl686,49.487459,8.466039,68165
gl687,38.833882,-104.821363,80925
gl688,46.522099,-80.953035,M5V 1G5
gl689,51.507351,-0.127758,E15 3JR
gl690,34.147785,-118.144516,91121
gl691,53.551085,9.993682,20539
gl692,43.653226,-79.383184,P1W 1K4
gl693,50.913425,-1.29459,SO30 0PZ
